,Food,Price
0,Súp Kimchi,"57,000"
1, Trứng cuộn,"48,000"
2,Cơm bokkum thịt bò,"53,000"
3,Kimbab thịt bò,"45,000"
4,Topokki,"35,000"
5,Mì jajang,"45,000"
6,Cơm bulgogi (Bulgogi Bibimbap),"53,000"
7,Miến Japchae cay,"64,000"
8,Miến Japchae (không cay),"59,000"
9,Súp bulgogi,"57,000"
10,Cơm trộn kim chi (Kimchi Bibimbap),"53,000"
11,Kimbab cheese,"45,000"
12,Topokki ramen,"38,000"
13,Tokbokki phô mai,"45,000"
14,Thịt ba chỉ heo nướng tương đỏ Hàn Quốc,"123,000"
15,Súp rong biển,"57,000"
16,Cơm bokkum cá ngừ,"53,000"
17,Kimbab Cá Ngừ,"45,000"
18,Nudu kimbab,"47,000"
19,Cơm bokkum kimchi,"53,000"
20,Thịt ba chỉ heo nướng thường,"103,000"
21,Lẩu Bulgogi 2 người,"223,000"
22,Lẩu Kim Chi Hải Sản 4 Người,"371,000"
23,Lẩu Kim Chi Hải Sản 2 Người,"291,000"
24,Kim chi cải thảo,"17,000"
25,Cơm thêm,"5,000"
26,Cá cơm Hancook (150gr/hộp),"50,000"
27,Chả cá thêm,"18,000"
28,Trứng thêm,"5,000"
29,Phô mai thêm,"18,000"
30,Thịt bò thêm (ăn lẩu),"93,000"
31,Bánh gạo,"33,000"
32,Lá kim tẩm gia vị,"15,000"
33,Rau thêm của lẩu kim chi,"53,000"
34,Mì gói không vị HÀN QUỐC,"20,000"
35,Thịt heo thêm (ăn lẩu),"93,000"
36,Rau Nướng Thêm,"15,000"
37,Đậu Hũ Thêm,"18,000"
38,Thanh Cua Thêm,"25,000"
39,Rau Lẩu Bulgogi,"53,000"
40,Rau Thêm Lẩu Kimchi Bò Mỹ,"63,000"
41,Xúc Xích Thêm,"18,000"
42,Lá Mè (Ăn Nướng),"18,000"
43,Nấm Kim Châm Thêm (Ăn Lẩu),"33,000"
44,Tôm Sú Thêm (Ăn Lẩu),"100,000"
45,Cá Basa Phile Thêm (Ăn Lẩu),"90,000"
46,Bò xay thêm,"18,000"
47,Pepsi,"15,000"
48,Sting,"15,000"
49,7 up,"15,000"
50,Nước nha đam (180ml),"25,000"
51,Sữa Gạo,"35,000"
52,Nước suối,"10,000"
53,Soda Dưa Hấu,"35,000"
54,Oo Long sữa,"35,000"
55,Soda Xoài,"35,000"
56,Soda Dưa Lưới,"35,000"
57,Trà Sữa Hoa Đậu Biếc,"35,000"
58,Bia Tiger (Lon),"25,000"
59,Makkoli (750ml),"110,000"
