,Food,Price
0,Cơm trắng Gạo thơm,"30,000"
1,Canh chua cá Thu hoặc cá cờ,"80,000"
2,Tôm Thịt Ram,"135,000"
3,"Sụn Heo chiên nước mắm, rau thơm, dưa Leo","135,000"
4,Cải Thìa xào tỏi,"40,000"
5,Cá Thu Chiên Sốt Cà chua,"80,000"
6,Sườn que chiên sốt Chua Ngọt,"135,000"
7,Canh Bầu nấu với Tôm tươi,"70,000"
8,Thịt Heo kho Đậu hũ,"135,000"
9,Trứng chiên thịt Bò,"80,000"
10,"Canh mồng tơi ,Cua đồng","80,000"
11,Mực xào chua ngọt,"135,000"
12,Thịt Heo xào Rau Thập cẩm,"80,000"
13,Mực xào Dưa Leo,"135,000"
14,Khổ Qua xào trứng Gà,"80,000"
15,Rau muống xào tỏi,"40,000"
16,"Thịt Heo luộc,Cà pháo mắm tôm","135,000"
17,Canh khổ Qua Thịt Heo,"80,000"
18,Bò xào chua ngọt,"135,000"
19,"Sụn Gà chiên xã ớt, rau thơm dưa Leo","135,000"
20,Bún Bò Giò Heo,"40,000"
21,Bún bò tái nạm,"48,000"
22,Bún riêu xương,"48,000"
23,Phở Bò Tái,"40,000"
24,Bún Riêu Giò Heo,"60,000"
25,Bún bò Nạm giò,"55,000"
26,Bún Thịt Nướng,"40,000"
27,Cháo bò,"40,000"
28,Phở Gà,"42,000"
29,Phở Bò Tái Nạm,"48,000"
30,Cháo hải sản,"40,000"
31,Mì xào hải sản,"70,000"
32,Cơm chiên dương châu,"70,000"
33,Thơm ép,"35,000"
34,Mì xào bò,"70,000"
35,Phở Bò Tái Giò,"60,000"
