,Food,Price
0,Combo Hứng Khởi,"48,000"
1,Combo Vui Vẻ,"84,000"
2,Combo Highlands,"194,000"
3,Combo Tỉnh Táo,"84,000"
4,Combo Chuyện Trò,"74,000"
5,Trà Sen Vàng (Sen),"45,000"
6,Trà Sen Vàng (Củ Năng),"45,000"
7,Trà Thạch Đào,"45,000"
8,Trà Thạch Vải,"45,000"
9,Trà Thanh Đào,"45,000"
10,Trà Xanh Đậu Đỏ,"45,000"
11,Phin Sữa Đá,"29,000"
12,Bạc Xỉu,"29,000"
13,Phin Đen Đá,"29,000"
14,Phin Sữa Nóng,"29,000"
15,Phin Đen Nóng,"29,000"
16,Freeze Trà Xanh,"55,000"
17,Chocolate Freeze,"55,000"
18,Cookies & Cream,"55,000"
19,Caramel Phin Freeze,"55,000"
20,Classic Phin Freeze,"55,000"
21,Bánh Mì Que Gà Phô Mai,"19,000"
22,Bánh Mì Que Pate,"19,000"
23,PhinDi Hạnh Nhân,"45,000"
24,PhinDi Kem Sữa,"45,000"
25,PhinDi Choco,"45,000"
26,Cappuccino,"65,000"
27,Caramel Macchiato,"69,000"
28,Latte,"65,000"
29,Americano,"45,000"
30,Espresso,"45,000"
31,Mocha,"69,000"
32,Chanh Dây Đá Viên,"39,000"
33,Tắc/Quất Đá Viên,"39,000"
34,Chocolate,"55,000"
35,Chanh Đá Xay,"39,000"
36,Chanh Đá Viên,"39,000"
37,Chanh Nóng,"39,000"
38,Trà Mơ Sơ Ri,"55,000"
39,Trà Xoài Nhiệt Đới,"55,000"
