,Food,Price
0,Trà Sen Vàng (Sen),"45,000"
1,Trà Thạch Đào,"45,000"
2,Trà Sen Vàng (Củ Năng),"45,000"
3,Trà Thanh Đào,"45,000"
4,Trà Thạch Vải,"45,000"
5,Trà Xanh Đậu Đỏ,"45,000"
6,Phin Sữa Đá,"29,000"
7,Bạc Xỉu,"29,000"
8,Phin Đen Đá,"29,000"
9,Freeze Trà Xanh,"55,000"
10,Chocolate Freeze,"55,000"
11,Cookies & Cream,"55,000"
12,Caramel Phin Freeze,"55,000"
13,Classic Phin Freeze,"55,000"
14,Bánh Mì Que Pate,"19,000"
15,Bánh Mì Que Gà Phô Mai,"19,000"
16,PhinDi Hạnh Nhân,"45,000"
17,PhinDi Kem Sữa,"45,000"
18,PhinDi Choco,"45,000"
19,Bánh Tiramisu,"35,000"
20,Bánh Chuối,"29,000"
21,Latte,"65,000"
22,Americano,"45,000"
23,Cappuccino,"65,000"
24,Caramel Macchiato,"69,000"
25,Espresso,"45,000"
26,Mocha,"69,000"
27,Chocolate,"55,000"
28,Tắc/Quất Đá Viên,"39,000"
29,Chanh Đá Viên,"39,000"
