,Food,Price
0,Trứng cuộn phô mai,"59,000"
1,Bánh bạch tuộc,"47,000"
2,Trứng cuộn kiểu Nhật,"44,000"
3,Đậu hũ sốt thịt bằm,"59,000"
4,Đậu nành Nhật Bản luộc,"32,000"
5,Đậu hũ lạnh,"42,000"
6,Đậu nành sốt cay,"44,000"
7,Salad thanh cua,"66,000"
8,Salad cá hồi và bơ,"95,000"
9,Salad cá trích ép trứng,"95,000"
10,Salad hải sản,"95,000"
11,Salad thịt bò,"95,000"
12,Salad thit gà,"78,000"
13,Bánh xèo Nhật Bản,"71,000"
14,Há cảo chiên kiểu Nhật,"66,000"
15,Gà chiên sốt Teriyaki,"83,000"
16,Thịt heo chiên xù trứng,"78,000"
17,Gà chiên sốt Taru Taru,"78,000"
18,Bò cuộn nấm kim châm,"66,000"
19,Gà chiên kiểu Nhật,"66,000"
20,Há cảo chiên sốt Teriyaki,"78,000"
21,Thịt heo chiên xù,"78,000"
22,Cá hồi sốt Teriyaki,"119,000"
23,Cá hồi chiên xù,"114,000"
24,Mực chiên xù,"71,000"
25,Thịt heo xào kim chi,"78,000"
26,Cá hồi nướng muối,"114,000"
27,Thịt bò xào hành tây,"78,000"
28,Tôm chiên xù,"71,000"
29,Mực sốt Teriyaki,"83,000"
30,Thịt gà chiên xù,"78,000"
31,Ramen sốt Tonkotsu,"95,000"
32,Ramen vị Miso,"95,000"
33,Ramen vị Miso cay,"102,000"
34,Home ramen,"130,000"
35,Ramen cay,"90,000"
36,Ramen nước tương,"83,000"
37,Ramen bò,"102,000"
38,Yakisoba,"90,000"
39,Ramen khô cay ( có soup ),"102,000"
40,Ramen cà ri,"107,000"
41,Ramen sốt thịt bằm cay,"107,000"
42,Ramen xào giòn,"107,000"
43,Ramen Chashyu,"107,000"
44,Ramen nghêu,"102,000"
45,Ramen trứng,"90,000"
46,Ramen rau củ,"83,000"
47,Ramen hải sản,"130,000"
48,Ramen gà xé,"83,000"
49,Udon cà ri,"85,000"
50,Udon bò,"90,000"
51,Udon sốt Tonkotsu,"95,000"
52,Udon rong biển,"47,000"
53,Udon xào hải sản,"95,000"
54,Udon Miso cay,"95,000"
55,Udon xào bò,"90,000"
56,Udon hải sản,"95,000"
57,Udon  Miso,"95,000"
58,Udon cà ri mực,"85,000"
59,Udon thịt heo,"83,000"
60,Udon xào thịt heo,"83,000"
61,Udon kim chi,"102,000"
62,Udon nghêu,"90,000"
63,Udon xào gà ,"83,000"
64,Cơm cà ri heo,"90,000"
65,Cơm cà ri bò,"95,000"
66,Cơm cà ri tôm,"90,000"
67,Cơm cà ri gà chiên ( miếng ),"90,000"
68,Cơm cà ri cá hồi chiên xù,"102,000"
69,Cơm cà ri gà chiên ( viên ),"90,000"
70,Cơm thịt heo trứng,"90,000"
71,Cơm cá hồi sốt Teriyaki,"118,000"
72,Cơm gà áp chảo trứng,"90,000"
73,Cơm gà chiên xù trứng,"90,000"
74,Cơm gà sốt Teriyaki,"95,000"
75,Cơm bò xào hành tây,"118,000"
76,Cơm chiên cá hồi,"107,000"
77,Cơm chiên bò thố đá,"90,000"
78,Cơm bò trộn tiêu đen,"90,000"
79,Cơm chiên gà thố đá,"90,000"
80,Cơm chiên hải sản thố đá,"102,000"
81,Cơm chiên heo kim chi,"95,000"
82,Trứng   Ramen ,"27,000"
83,Rong biển ,"20,000"
84,Nấm măng,"30,000"
85,Cơm  trắng,"15,000"
86,Bắp ,"22,000"
