,Food,Price
0,Bánh tráng trộn,"24,250"
1,Bánh tráng cuốn sốt bơ thập cẩm,"26,950"
2,Bánh tráng cuốn bơ chấm sốt me,"30,800"
3,Bánh tráng sate mỡ hành tóp mỡ,"34,650"
4,Bánh tráng sate mỡ hành,"29,250"
5,Cơm cháy chiên nước mắm,"14,650"
6,Bánh tráng trộn siêu topping,"46,200"
7,Bánh tráng xìke,"14,250"
8,Dẻo tôm hành,"10,000"
9,Xoài lắc ly,"24,250"
10,Cóc non chấm muối,"24,250"
11,Xoài chấm muối,"28,900"
12,Cóc lắc,"24,250"
13,Chân gà rút xương sốt thái phần nhỏ,"83,150"
14,Chân gà rút xương sốt thái phần lớn,"147,450"
15,Chân gà rút xương xả tắc phần nhỏ,"80,100"
16,Chân gà xả tắc phần nhỏ,"78,550"
17,Chân gà rút xương  xã tắc phần lớn,"142,450"
18,Chân gà sốt thái phần nhỏ,"78,550"
19,Chân gà sốt thái phần lớn,"137,850"
20,Chân gà xả tắc phần lớn,"132,850"
21,Trà sữa truyền thống,"24,650"
22,Trà sữa socola,"28,900"
23,Trà tắc,"14,650"
24,Lục trà nho đen việt quất,"30,800"
25,Trà dâu trái cây tươi,"30,800"
26,Trà sữa khoai môn,"33,900"
27,Trà sữa việt quất,"30,800"
28,Lục trà bạc hà,"28,900"
29,Trà sữa kiwi,"28,900"
30,Trà sữa dâu,"24,650"
31,Yakul lựu đỏ,"33,900"
32,Yakul bạc hà,"30,800"
33,Yakul táo xanh,"33,900"
34,Yakul ổi hồng,"30,800"
35,Yakul vải,"30,800"
36,Cá viên,"7,700"
37,Đậu bắp,"6,950"
38,Xúc xích đức,"15,000"
39,Hoành thánh,"15,000"
40,Sò điệp,"15,000"
41,Đậu hủ,"7,700"
42,Bò viên,"7,700"
43,Hồ lô chiên,"13,500"
44,Chả cá dây,"13,500"
45,Đậu hủ cá phomai,"15,000"
46,Thanh cua,"15,000"
47,Phomai que sữa,"15,000"
48,Viên tôm hùm,"15,000"
49,Bánh bao trứng cá(nhím cam),"15,000"
50,Viên sốt màu cam,"15,400"
51,Xúc xích lốc xoáy chiên xù,"20,800"
52,Khoai tây chiên,"24,250"
53,Tôm viên,"7,700"
54,Gà viên chiên xù,"15,000"
55,Chả ốc nhồi,"15,000"
56,Bánh bao răng mực( nhím tím),"15,000"
57,Há cảo chiên,"15,000"
58,Cá tẩm cốm xanh,"15,000"
59,Viên cua hoàng đế,"16,550"
60,Bánh bao trứng muối(nhím xanh),"15,000"
61,Combo vừa 8món tặng 1 trà chanh thái đỏ,"91,250"
62,Combo lớn tặng 13 món tặng 1 trà chanh thái đỏ,"162,100"
