,Food,Price
0,Hàu nướng phô mai mozzarella,"5,500"
1,Hàu nướng mỡ hành,"5,500"
2,Hột vịt lộn,"8,000"
3,Hàu né + 2 trứng gà + bánh mì,"42,000"
4,Mì xào hải sản,"50,000"
5,Hột vịt lộn nước mắm mỡ hành đậu phộng,"8,000"
6,Cháo hào,"42,000"
7,Cơm  chiên hải sản,"45,000"
8,Nghêu hấp Thái  ,"40,000"
9,Tôm cháy tỏi,"65,000"
10,Hàu né + 2 trứng gà + mi gói,"42,000"
11,Móng tay xào hành ,"40,000"
12,Cơm chiên trứng,"30,000"
13,Bạch tuột sa tế sả ớt,"55,000"
14,Lụa xào mỡ hành ,"40,000"
15,Ốc hương bơ cay,"65,000"
16,Sò huyết cháy tỏi,"50,000"
17,Tôm né,"42,000"
18,Hào tôm mực + 2 trứng +  bánh mì ,"42,000"
19,Tôm hấp,"65,000"
20,Nghêu hấp thố ,"40,000"
21,Ốc len rang trứng muối ,"60,000"
22,Cơm trắng ,"5,000"
23,Mì xào tôm ,"50,000"
24,Nước tắc hạt chia Úc,"10,000"
25,Cút lộn rang me,"18,000"
26,Co ca ,"12,000"
27,Bia Tiger,"18,000"
28,Sting,"14,000"
29,Pepsi,"14,000"
30,Nước suối,"10,000"
31,Bò húc,"14,000"
32,Bia Sài Gòn xanh,"13,000"
33,Tiger lon bạc,"19,000"
34,Xa xi  lon,"14,000"
35,Trà ô long  th,"11,000"
36,Ken lon ,"21,000"
37,Ken lon  bạc,"22,000"
38,Sprite lon,"14,000"
39,Bia việt ,"14,000"
40,Trà xanh th ,"11,000"
