,Food,Price
0,Trà sữa full topping,"29,000"
1,Trà sữa chocolate,"19,000"
2,Trà sữa Oolong,"19,000"
3,Trà sữa khoai môn,"19,000"
4,Trà sữa kem dừa nướng,"29,000"
5,Trà sữa truyền thống,"19,000"
6,Yaourt việt quất,"22,000"
7,Yaourt xoài,"22,000"
8,Yaourt đào,"22,000"
9,Yaourt chanh dây,"22,000"
10,Sữa tươi hoa đậu biếc hoàng kim,"24,000"
11,Sữa tươi kem dừa nướng,"29,000"
12,Sữa tươi đặc biệt,"29,000"
13,Sữa tươi trân châu đường đen,"24,000"
14,Trà Đào,"19,000"
15,Trà Vải,"19,000"
16,Trà Chanh Đào,"19,000"
17,Trà Trái Cây Nhiệt Đới,"29,000"
