,Food,Price
0,Kem Bơ Dừa,"31,500"
1,Trái Cây Tô 12 Món,"32,400"
2,Kem Bơ Sầu Riêng,"36,000"
3,Kem Sữa Dừa Sầu Riêng,"31,500"
4,Kem Trái Cây,"31,500"
5,Kem Sữa Dừa,"31,500"
6,3 phần Kem Bơ Dừa + 300gr Ổi Nữ Hoàng ,"117,000"
7,Trái Cây Tô Đặc Biệt,"43,200"
8,Trái Cây Tô 12 Món (Sầu Riêng),"37,800"
9,Trái Cây Tô Lớn 12 Món (2 Phần Ăn),"64,800"
10,Trái Cây Tô Lớn 12 Món (Sầu Riêng),"75,600"
11,Xoài,"22,500"
12,Ổi Nữ Hoàng,"22,500"
13,Trái Cây Thập Cẩm Vừa,"56,700"
14,"Xoài, Ổi, Táo","31,500"
15,Dưa Hấu,"24,300"
16,Mít Thái,"36,000"
17,Bưởi Da Xanh,"49,500"
18,Trái Cây Thập Cẩm Lớn,"81,000"
19,Lê,"29,700"
20,Trái Cây Thập Cẩm Nhỏ,"34,200"
21,Trái Cây Thập Cẩm Đặc Biệt,"108,000"
22,Dưa Lưới,"44,100"
23,Thanh Long Đỏ,"22,500"
24,"Bưởi, Dưa Lưới, Cam Mỹ","59,400"
25,"Táo Mỹ, Dưa Hấu, Xoài","59,400"
26,Táo Mỹ,"30,600"
27,Thanh Long Trắng,"22,500"
28,Sinh Tố Mãng Cầu,"27,900"
29,Sinh Tố Bơ,"29,700"
30,Sinh Tố Dâu,"27,900"
31,Sinh Tố Sapoche,"24,300"
32,Sinh Tố Bơ Sầu Riêng,"34,200"
33,Sầu Riêng Dầm,"43,200"
34,Sinh tố cacao dừa,"29,700"
35,Sinh Tố Việt Quất,"24,300"
36,Sinh Tố Dâu Cam,"29,700"
37,Sinh Tố Dưa Gang,"19,800"
38,Sinh Tố Sầu Riêng,"29,700"
39,Sinh tố dừa,"24,300"
40,Dưa Gang Dầm Sữa,"19,800"
41,Sinh Tố Dừa Tươi,"24,300"
42,Sinh Tố Xoài,"22,500"
43,Sinh Tố Nho Mỹ,"24,300"
44,Sinh Tố Đào,"22,500"
45,Sinh Tố Dưa Luới,"24,300"
46,Sinh Tố Đu Đủ,"22,500"
47,Sinh Tố Mít,"24,300"
48,Mít - Nhãn Dầm Sữa,"29,700"
49,Mít Thái Dầm Sữa,"29,700"
50,Nước Ép Ổi Nữ Hoàng,"22,500"
51,Nước Ép Dưa Hấu,"22,500"
52,Nước Ép Cam - Dâu,"29,700"
53,Nước Ép Cam,"22,500"
54,Nước Ép Cam - Cà Rốt,"22,500"
55,Nước ép Dưa Lưới,"22,500"
56,Nước Ép Táo Mỹ,"24,300"
57,Nước Ép Cam - Dưa Lưới,"24,300"
58,Nước Ép Cam - Táo Mỹ,"24,300"
59,Nước Ép Cà Rốt - Táo Mỹ,"24,300"
60,Nước Ép Cà Rốt,"22,500"
61,Nươc Ép Lê,"22,500"
62,Nước Ép Lê,"22,500"
63,Yaourt Dừa Đá,"14,400"
64,Yaourt Việt Quất,"21,600"
65,Tắc Xí Muội,"19,800"
66,Trà Vải,"19,800"
67,Cacao Sữa Đá,"19,800"
68,Trà Đào,"19,800"
69,Chanh Đá/Nóng,"14,400"
70,Yaourt Nho,"21,600"
71,Combo 9 Ly Yaourt Dừa Đá,"129,600"
72,Cơm Cháy Mắm Hành,"10,800"
73,Cá Viên,"14,400"
74,Bánh Tráng Hành Tỏi,"11,700"
75,Phô Mai Que,"19,800"
76,Xúc Xích Đức,"14,400"
77,Sò Điệp,"19,800"
78,Đậu Hũ Phô Mai,"11,700"
79,Chả Cá Viên Tẩm Cốm,"14,400"
80,Hồ Lô,"19,800"
81,Bò Viên,"14,400"
82,Đậu Bắp Chiên,"9,900"
83,Tôm Viên,"14,400"
84,Hải Sản Viên Tẩm Bột,"19,800"
85,Bò viên nhân phô mai,"14,400"
86,Nui Xào Bò,"30,600"
87,Mì Xào Bò,"30,600"
88,Mì Xào Thập Cẩm,"37,800"
89,Nui Xào Thập Cẩm,"37,800"
90,Mì Xào Thịt Bằm + Xúc Xích Đức,"30,600"
91,Nui Xào Thịt Bằm + Xúc Xích Đức,"30,600"
92,Mì Xào Mực,"34,200"
93,Nui Xào Mực,"31,500"
