,Food,Price
0,Chicken Phomai,"164,000"
1,Gà không xương rán,"131,000"
2,Cánh gà 1 miếng rán,"45,000"
3,Combo 6 miếng gà rán,"99,000"
4,Combo 6 miếng gà nướng,"99,000"
5,Khoai tây lắc phô mai,"44,000"
6,Kim chi,"10,000"
7,Gà rán tokbokki Hàn Quốc,"69,000"
8,Tokbokki xào cay,"50,000"
9,Củ cải,"15,000"
10,Chân gà sốt cay,"76,000"
11,Bánh mandu - 3 cái,"44,000"
12,Khoai tây chiên,"34,000"
13,Tokbokki lắc phô mai,"44,000"
14,Tokbokki hải sản,"76,000"
15,Chân   Gà sốt cay thêm phô mai,"114,000"
16,Cơm trộn bò,"72,000"
17,Miến trộn bò Hàn Quốc,"65,000"
18,Cơm nắm,"34,000"
19,Mỳ đen,"54,000"
20,Mỳ trộn gà sốt Hàn,"60,000"
21,Cơm trộn gà,"65,000"
22,Cơm gà Hàn Quốc (ức gà),"60,000"
23,Mỳ trộn bò sốt Hàn,"65,000"
24,Mỳ trộn hải sản Hàn Quốc,"82,000"
25,Miến trộn hải sản,"76,000"
26,Miến trộn gà Hàn Quốc,"60,000"
27,Cơm trộn hải sản,"82,000"
28,Pepsi,"12,000"
29,Nước gạo,"25,000"
30,Nước ép dưa hấu,"25,000"
31,Nước cam ép,"35,000"
32,Nước ép chanh leo,"25,000"
33,Nước chanh tươi,"25,000"
34,Nước khoáng,"10,000"
35,Canh kim chi bé,"34,000"
36,Canh rong biển nhỏ,"40,000"
37,Salad hoa quả,"54,000"
38,Canh kim chi lớn,"64,000"
39,Canh rong biển lớn,"76,000"
