,Food,Price
0,Bún thái thập cẩm ,"40,000"
1,Bún thái đặc biệt ,"55,000"
2,Bún tôm bề bề,"40,000"
3,Quẩy  ,"10,000"
4,Bún cá chả cá,"35,000"
5,Cơm chiên hải sản ,"55,000"
6,Miến trộn,"45,000"
7,Miến xào thập cẩm ,"55,000"
8,Bún ốc,"35,000"
9,Mì xào hải sản ,"55,000"
10,Chả nem bề bề,"55,000"
11,Cơm chiên thập cẩm ,"45,000"
12,Cơm Rang Dưa Bò,"55,000"
13,Cơm chiên trứng lạp sườn,"40,000"
14,Ngô chiên  Bơ,"45,000"
15,Chả nem hải sản ,"80,000"
16,Bún chả nem bề bề,"50,000"
17,Mỳ Xào Bò,"55,000"
18,Bề bề chiên giòn,"100,000"
19,Trà Sâm Dứa,"7,000"
20,Coca,"15,000"
