,Food,Price
0,Trà dâu quả mọng,"55,000"
1,Trà táo dâu ,"55,000"
2,Trà đào cam sả,"55,000"
3,Trà vải ,"55,000"
4,Cà phê  vani đá xay,"69,000"
5,Sữa chua xay blue curacao ,"69,000"
6,Cao cao bạc hà xay ,"69,000"
7,Sinh tố dâu + quả mọng ,"69,000"
8,Trà xanh đá xay ,"79,000"
9,Tắc đào đá xay,"55,000"
10,Sinh tố chanh dây ,"69,000"
11,Cà Phê Sữa Đá Chai Thuỷ Tinh,"70,000"
12,Sữa đá ,"35,000"
13,Đen đá ,"33,000"
14,Cà Phê Đen Chai Thuỷ Tinh,"65,000"
15,Latte ,"55,000"
16,Capuchino ,"55,000"
17,Chocolate ,"55,000"
