,Food,Price
0,Khoai tây chiên,"20,000"
1,Combo Đủ Thứ Lun,"118,000"
2,Combo Căng Da Bụng,"119,000"
3,Combo Gà Diên,"109,000"
4,Combo Chúc Chích,"102,000"
5,Hotdog mozzarella,"42,000"
6,Hotdog bacon,"37,000"
7,Hotdog truyền thống,"27,000"
8,Hotdog Bacon Trứng,"44,000"
9,Hotdog chilli (cay),"37,000"
10,hotdog chilli trứng (cay),"44,000"
11,Hotdog Phi Lê Gà,"42,000"
12,Hotdog Trứng,"34,000"
13,Burger Bò Trứng,"46,000"
14,Burger Bò Trứng Bacon,"56,000"
15,Burger Bò,"39,000"
16,Burger Gà,"39,000"
17,Burger Bò Mozzarella,"54,000"
18,Burger Bò Bacon,"49,000"
19,Burger Gà Mozzarella,"54,000"
20,Burger Gà Trứng,"46,000"
21,Burger Gà Trứng Bacon,"56,000"
22,Burger Gà Bacon,"49,000"
23,Burger Trứng,"20,000"
24,Burger Bò Khoai Tây,"46,000"
25,Burger Gà Khoai Tây,"46,000"
26,Sandwich Bò Trứng,"46,000"
27,Sandwich Bò Trứng Bacon,"56,000"
28,Sandwich Gà BBQ,"39,000"
29,Sandwich Trứng,"20,000"
30,Sandwich Đặc Biệt,"69,000"
31,Sandwich Bò Bacon,"49,000"
32,Sandwich Gà Bacon,"49,000"
33,Sandwich Bò,"39,000"
34,Sandwich Gà Trứng Bacon,"56,000"
35,Sandwich Gà Trứng,"46,000"
36,Sandwich Double Bò,"54,000"
37,Sandwich Double Gà BBQ,"54,000"
38,Gà Rán (1 Miếng) ,"30,000"
39,Gà Rán (2 Miếng),"55,000"
40,Combo 1 Người,"55,000"
41,Gà Rán (3 Miếng),"80,000"
42,Combo 2 Người,"115,000"
43,Combo Bự,"230,000"
44,Gà Rán (6 Miếng),"159,000"
45,Gà Viên Lắc Phô Mai,"40,000"
46,Gà Viên Sốt Cay,"40,000"
47,Gà Viên Sốt Cay Phô Mai Mozza,"55,000"
48,Gà Viên Sốt Gia Vị,"40,000"
49,Gà Viên Bơ Tỏi,"40,000"
50,Khoai tây lắc phô mai,"25,000"
51,Salad Gà (Không Cay),"40,000"
52,Salad Gà Sốt Cay,"40,000"
53,Salad Dầu Giấm,"25,000"
54,Pepsi Chai,"15,000"
