,Food,Price
0,Mẹt phú nông,"480,000"
1,Gà lên nia & cơm cháy phú nông,"460,000"
2,Sườn bò tơ dân dã chiên,"195,000"
3,Sườn bò two 1 nắng chiên,"215,000"
4,Sườn bò tơ 1 nắng nướng,"215,000"
5,Ốc bươu nhồi thịt,"120,000"
6,Đậu hủ chiên giòn,"45,000"
7,Tôm sấy,"140,000"
8,Chạo tôm,"125,000"
9,Khoai tây chiên,"40,000"
10,Sa kê chiên,"45,000"
11,Thác lác cuộn đầu hành,"125,000"
12,Dồi bò tơ nướng,"90,000"
13,Bò tơ kho quẹt & cơm cháy,"95,000"
14,Đùi bơ tơ nướng dân dã,"195,000"
15,Thăn bò tơ nướng dân dã,"195,000"
16,Đùi bơ tơ nướng sate,"195,000"
17,Thăn bò tơ nướng sate,"195,000"
18,Bò tơ hấp cuốn rau sống,"195,000"
19,Đuôi bò tơ hấp hành gừng,"195,000"
20,Dồi bò tơ hấp,"90,000"
21,Gu bò tơ nướng,"195,000"
22,Gỏi xoài khô cá cơm,"65,000"
23,Gỏi bò tơ cần nước,"135,000"
24,Gỏi gà xé phay,"230,000"
25,Salad dầu giấm,"40,000"
26,Gà nướng muối ớt,"230,000"
27,Gà hấp muối hột nồi đất,"275,000"
28,Gà xào sả ớt,"235,000"
29,Gà hấp lá chanh,"230,000"
30,Gà hấp mắm nhĩ,"230,000"
31,Gà xào lá chanh,"235,000"
32,Cơm chiên trứng,"50,000"
33,Mì xào hải sản,"95,000"
34,Cháo đuôi bò đậu xanh,"145,000"
35,Cháo bò bằm,"85,000"
36,Cơm chiên hải sản,"95,000"
37,Mì xào bò,"95,000"
38,Cơm bò bằm sả,"95,000"
39,Mì xào laghim,"45,000"
40,Miến xào hải sản,"115,000"
41,Miến xào bò,"115,000"
42,Cháo gà,"230,000"
43,Các món rau luộc chấm tương chao,"35,000"
44,Ngũ quả luộc chấm trứng (2 trứng),"55,000"
45,Rau xào tỏi,"45,000"
46,"Lẩu gà ớt xiêm xanh, nước dừa","295,000"
47,Đuôi bò hầm đu đủ,"250,000"
48,Lẩu bò bắp riêu cua rau mồng tơi,"250,000"
49,Lẩu cá thác lác riêu cua rau mồng tơi,"250,000"
50,Lẩu cá thác lác khổ qua,"240,000"
51,Lẩu gà riêu cua với nấm,"375,000"
52,Lẩu gà lá é,"275,000"
53,Lẩu gà lá giang,"275,000"
54,Nước ép dưa hấu,"30,000"
55,Đĩa trái cây thập cẩm,"65,000"
56,Dưa tươi,"35,000"
57,Nước ép thơm,"30,000"
58,Nước ép bưởi,"30,000"
59,Nước ép ổi,"30,000"
60,Nước đá chanh,"30,000"
61,Nước ép thơm cà rốt,"30,000"
62,Soda chanh đường,"35,000"
63,Nước cam vắt,"35,000"
64,Bia heneiken,"22,000"
65,Nước yến,"15,000"
66,Bò húc,"13,000"
67,Coca,"13,000"
68,7up,"13,000"
69,Pepsi,"13,000"
70,Nước suối,"12,000"
71,Bia tiger,"20,000"
72,Bia tiger bạc,"20,000"
73,Bia Sài Gòn,"16,000"
