,Food,Price
0,Gà nướng muối ớt,"180,000"
1,Gà nướng sa tế,"180,000"
2,Gà nướng cay tóe lửa - 1 con,"180,000"
3,Gà nướng mật ong,"180,000"
4,Gà nướng ngũ vị,"180,000"
5,Gà nướng chao,"180,000"
6,Gà nướng,"180,000"
7,Heo quay miếng,"40,000"
8,Vịt quay mật ong nửa con,"190,000"
9,Vịt quay mật ong nguyên con,"340,000"
10,Heo sữa quay da siêu dòn,"1,600,000"
11,Bánh mì,"4,000"
12,Dưa leo thêm,"12,000"
13,Lưỡi vịt nướng sa tế,"80,000"
14,Lưỡi vịt phá lấu,"80,000"
15,Lưỡii vịt sabo,"80,000"
16,Coca cola,"15,000"
17,Sting dâu,"15,000"
18,Nước suối Aquafina,"10,000"
19,Pepsi,"15,000"
