,Food,Price
0,LẨU BÒ (NHỎ),"250,000"
1,Lẩu bò (VỪA),"300,000"
2,Lẩu bò (LỚN),"350,000"
3,BÁNH SỮA HEO NƯỚNG ,"150,000"
4,Nộm tai heo,"100,000"
5,LÒNG NON NƯỚNG ,"150,000"
6,Lẩu đuôi bò 400,"400,000"
7,ĐẬU HỦ CHIÊN GIÒN,"30,000"
8,Lẩu bò 400k,"400,000"
9,Thịt bò nướng ( nhỏ),"200,000"
10,Gỏi bò sốt tắc muối,"170,000"
11,LẨU BÒ NHÚNG LÁ GIANG ,"300,000"
12,Thịt bò nướng ( lớn),"250,000"
13,LẨU BÒ THỊT TƯƠI,"250,000"
14,LẨU BÒ NHÚNG LÁ GIANG,"250,000"
15,KHĂN LÔNG LÁ  SÁCH BÓP THẤU,"170,000"
16,Lẩu bò 500,"500,000"
17,Lẩu đuôi bò,"500,000"
18,DỒI SỤN NƯỚNG ,"150,000"
19,LẨU BÒ THỊT TƯƠI ,"400,000"
20,KHĂN LÔNG LÁ SÁCH BÓP THẤU,"220,000"
21,Lẩu bò 450,"450,000"
22,Rau thêm,"15,000"
23,Chao thêm,"10,000"
24,Mì trứng thêm,"15,000"
25,Rau má thêm,"15,000"
26,Lòng thêm,"100,000"
27,Cải thảo thêm,"15,000"
28,Mì gói thêm,"10,000"
29,Thịt thêm,"120,000"
30,Bò viên ,"70,000"
31,Gân thêm,"120,000"
32,Bánh đa thêm,"10,000"
33,Trứng gà ta thêm,"10,000"
34,Bò  viên chiên,"70,000"
35,Đuôi bò thêm ,"150,000"
36,Rau muống thêm,"10,000"
37,ÓC TUỶ THÊM,"100,000"
38,BÚN THÊM,"10,000"
39,BẮP BÒ TƯƠI THÊM,"120,000"
40,GÀU NẠM THÊM,"120,000"
41,Hành lá thêm,"15,000"
42,BÒ VIÊN 1KG,"200,000"
43,Pepsi ,"17,000"
44,Sting,"17,000"
45,Coca ,"17,000"
46,Tiger lon bạc,"20,000"
47,7 Up,"17,000"
48,Tiger lon nâu,"20,000"
49,RỰU TÁO MÈO,"85,000"
50,Bò húc Thái,"17,000"
51,Nước suối,"15,000"
52,Xá xị,"17,000"
53,RỰU MƠ,"85,000"
54,RỰU ĐÒNG ĐÒNG,"85,000"
55,RỰU NẾP CÁI HOA VÀNG,"85,000"
