,Food,Price
0,Chả giò chay ngon (ram chay),"45,000"
1,bún Đậu Chay  55,"55,000"
2,Bún Đậu Chay 90,"90,000"
3,Đậu hũ sốt sả chao,"35,000"
4,Lẩu Chay Cô Đơn ,"70,000"
5,Kim chi cay ngon tự muối,"45,000"
6,RAM BẮP CHAY 40,"40,000"
7,Nấm Đùi Gà chiên giòn,"55,000"
8,Lẩu Kim Chi Chay 150,"150,000"
9,Lẩu Chay 100,"100,000"
10,"Chao mang về ( chấm đồ luộc, ăn cơm, bún..)","85,000"
11,Lẩu chay 1 người,"70,000"
12,Lẩu chay 2 người,"160,000"
13,Lẩu chay An Nhiên 180,"180,000"
14,Lẩu chay đặc biệt 290,"290,000"
15,Mì gói chay,"5,000"
16,Tàu hũ ki ( phù trúc ),"30,000"
17,Bò viên chay,"30,000"
18,Rau thêm,"10,000"
19,Bún thêm,"9,000"
20,Giò lụa chay,"20,000"
21,Nấm kim châm,"25,000"
22,Bò gà lát chay,"20,000"
23,Kim Chi  Nhà Làm 45,"45,000"
24,Bắp ngọt,"15,000"
25,Đậu hũ trắng,"15,000"
26,La hán quả mát gan đẹp da,"20,000"
27,Nước ngọt Coca,"15,000"
28,Nước ngọt Sting,"15,000"
29,Tắc xí muội,"20,000"
30,Nước ngọt 7up,"15,000"
31,Nước suối,"10,000"
32,Combo nấm 3 loại,"65,000"
33,Combo rau nấm,"30,000"
34,Combo chả chay,"70,000"
35,Combo topping lẩu Hằng Thiện,"90,000"
