,Food,Price
0,Đen xay,"20,000"
1,Bạc xỉu,"30,000"
2,Nâu Sài gòn,"22,000"
3,Đen Sài gòn,"22,000"
4,Đen Sài gòn lắc,"22,000"
5,Nâu Sài gòn lắc,"22,000"
6,Ép Ổi,"25,000"
7,Ép cam,"35,000"
8,Ép cam – cà rốt,"35,000"
9,Ép cam – dứa,"35,000"
10,Ép dứa,"25,000"
11,Ép cà rốt,"25,000"
12,Ép chanh leo,"25,000"
13,Chanh tươi,"25,000"
14,Chanh muối,"25,000"
15,Bơ dầm sữa chua,"40,000"
16,Sữa chưa dẻo dầm,"30,000"
17,Sữa Chua Dẻo Dầm  cafe,"35,000"
18,Sữa Chua DầmChanh leo ,"35,000"
19,ST bơ,"35,000"
20,ST bơ xoài,"35,000"
21,ST mãng cầu,"35,000"
22,ST việt quất,"35,000"
23,Trà gừng,"15,000"
24,Trà đào,"25,000"
25,Trà đào cam xả,"35,000"
26,Trà vải,"25,000"
27,Trà dâu,"25,000"
28,Trà chanh,"20,000"
29,Trà lipton,"15,000"
30,Việt quất đá xay,"35,000"
31,Matcha đá xay,"35,000"
32,Chanh dây đá xay,"35,000"
33,CF sữa,"25,000"
34,Sữa nóng,"20,000"
35,Sữa chua đánh đá,"25,000"
36,Sữa chua đánh  cafe,"30,000"
37,Lipton sữa,"20,000"
38,Sữa chua đánh chanh leo ,"30,000"
39,Cacao,"25,000"
40,Bò húc sữa,"20,000"
41,Bò húc,"18,000"
42,Coca,"15,000"
