,Food,Price
0,Chocolate Cream,"38,000"
1,Matcha Frappe,"36,000"
2,Chocolate Milk,"38,000"
3,Cookie Choco Cream,"39,000"
4,hạnh nhân truyền thống,"41,000"
5,hạnh nhân khoai môn,"45,000"
6,hạnh nhân chocolate,"45,000"
7,hạnh nhân matcha,"45,000"
8,Coffee Sữa,"24,000"
9,Cam Ép,"29,000"
10,Coffee Đá,"22,000"
11,Sữa Tươi,"25,000"
12,Matcha Soya Bean,"38,000"
13,Taro Soya Bean,"38,000"
14,strawberry soya,"38,000"
15,Soya Truyền Thống,"28,000"
16,Chocolate Soya Bean,"36,000"
17,Trà Cam Dâu Xoài,"38,000"
