,Food,Price
0,Cafe muối,"15,000"
1,Cafe sữa,"15,000"
2,Bạc xỉu,"15,000"
3,Cafe dừa,"15,000"
4,Cafe đen,"15,000"
5,Cafe latte,"15,000"
6,Matcha trà xanh,"25,000"
7,Olong sữa,"25,000"
8,Olong hạt sen,"25,000"
9,Đào sữa,"25,000"
10,Đào Cam Sả,"25,000"
11,Xoài,"25,000"
12,Cacao dừa,"20,000"
13,Cacao đá,"20,000"
14,Dưa hấu,"20,000"
15,Quýt,"20,000"
16,Ổi,"20,000"
17,Cam,"20,000"
18,Thanh long đỏ,"20,000"
19,Thơm,"20,000"
20,Cold brew chai 350ml,"35,000"
21,Cafe muối chai 350ml,"45,000"
22,Chai Cf Muối 500ml,"85,000"
23,Cafe latte chai 350ml,"35,000"
24,Cafe muối 3 tầng,"30,000"
