,Food,Price
0,Mì Trộn Thập Cẩm,"45,000"
1,Nui Xào Bò ,"50,000"
2,Mì Trộn Trứng Xúc Xích,"40,000"
3,Mì Trộn Trứng Cút Lòng Đào,"30,000"
4,Mì Trộn Xúc Xích Bò Viên,"40,000"
5,Mì Xào Trứng,"35,000"
6,Mì Xào Trứng Xúc Xích ,"45,000"
7,Nui Xào Xúc Xích,"40,000"
8,Nui Xào Gà ,"45,000"
9,Mì xao bò,"50,000"
10,Mì Xào Thịt Bằm,"45,000"
11,Nui xào thịt bằm,"45,000"
12,Mì Trộn Cá Viên,"35,000"
13,Nui Xào Trứng ,"35,000"
14,Mì xào gà,"45,000"
15,Nui Xào Trứng Xúc Xích ,"45,000"
16,Mì Trộn Bò Viên,"35,000"
17,Mì Xào Xúc Xích,"40,000"
18,Cơm sườn,"45,000"
19,Cơm gà,"45,000"
20,Sinh tố bơ,"40,000"
21,Sinh tố dâu,"38,000"
22,Sinh tố bơ sầu riêng,"45,000"
23,Sinh tố mãng cầu,"28,000"
24,Sinh tố xoài,"35,000"
25,Sinh tố sầu riêng,"35,000"
26,Sinh tố mít,"32,008"
27,Sinh tố đu đủ,"35,000"
28,Nước ép dưa hấu,"35,000"
29,Cam vắt,"25,000"
30,Nước Ép Ổi,"35,000"
31,Nước Ép Thơm ,"35,000"
32,Mước Ép Ca Rốt,"35,000"
33,Nước Ep Cóc,"35,000"
34,Nước Ép Táo,"35,000"
35,Nước Ép Bưởi,"35,000"
36,Nước Ép Ca Chua,"20,000"
37,Pho Mai Que,"30,000"
38,Thập Cẩm Đặc Biệt,"50,000"
39,Đui Ga Rán,"60,000"
40,Cá Viên,"30,000"
41,Khooai Tây Chiên,"30,000"
42,Hotdog,"30,000"
43,Xuc Xich,"30,000"
44,Tôm Viên,"30,000"
45,Bò Viên,"30,000"
46,Trứng Cá Lẩu,"30,000"
47,Bò Biên Xúc Xichd,"30,000"
48,Trà Sữa Thái Trăng Trâu Trắng,"30,000"
49,Cafe Sửa Đá,"20,000"
50,Cafe Đá,"15,000"
