,Food,Price
0,Nấm kim châm thêm,"15,000"
1,Bò Mỹ thêm,"25,000"
2,Bắp cải tím thêm,"15,000"
3,Xúc xích thêm,"19,000"
4,Kim chi thêm,"15,000"
5,Mì Thêm (Mì Cay),"19,000"
6,Bò thêm,"20,000"
7,Cá viên thêm,"19,000"
8,Súp lơ thêm,"15,000"
9,Mực thêm,"19,000"
10,Tôm thêm,"19,000"
11,Mì túi kiếng thêm (Lẩu),"19,000"
12,Cá thêm,"19,000"
13,Mì xào thêm,"19,000"
14,Đùi gà thêm,"25,000"
15,Trứng gà thêm,"15,000"
16,Heo thêm,"19,000"
17,Cơm Trộn Hàn Quốc,"49,000"
18,Muối ớt xanh 200gram,"24,000"
19,Mì gói chinnoo vị hải sản (túi 14 vắt),"110,000"
20,Mì gói chinnoo vị bò (túi 14 vắt),"110,000"
21,Sốt chấm bò 180gram,"29,000"
22,Mì gói chinnoo không gia vị túi (14 vắt),"110,000"
23,Kimbap,"39,000"
24,Xúc xích lốc xoáy,"29,000"
25,Takoyaki,"39,000"
26,Khoai tây lắc phô mai,"29,000"
27,Mì xào hải sản,"49,000"
28,Đùi gà Cay (2 đùi),"55,000"
29,Mì xào gà,"49,000"
30,Phô mai que,"29,000"
31,Xúc xích phô mai,"29,000"
32,Phô mai viên,"29,000"
33,Trà đào,"29,000"
34,Trà sữa Thái,"29,000"
35,7 up ly,"19,000"
36,Trà sữa Sasin,"29,000"
37,Pepsi ly,"19,000"
38,Sting lon,"25,000"
39,Pepsi lon,"25,000"
40,7 up lon,"25,000"
41,Nước suối,"12,000"
42,Redbull lon,"25,000"
43,Combo Một Mình Sương Sương,"89,000"
44,Combo Một Mình,"69,000"
45,Combo Hai Mình,"179,000"
46,Combo Một mình No Cành Hong,"109,000"
47,Combo No Sương Sương,"289,000"
48,Combo Hai Mình Cùng No,"209,000"
49,Combo No Cành Hong,"439,000"
50,Mì kim chi hải sản,"49,000"
51,Mì kim chi Bò Mỹ,"49,000"
52,Mì kim chi Bò,"49,000"
53,Mì lẩu Thái,"49,000"
54,Mì Tomyum hải sản,"49,000"
55,Mì kim chi Gà,"49,000"
56,Tomyum Bò,"49,000"
57,Mì kim chi Cá,"49,000"
58,Mì Gogi,"49,000"
59,Lẩu thái hải sản (4 người),"319,000"
60,Lẩu thái hải sản (2 người),"169,000"
61,Lẩu kim chi hải sản (2 người),"169,000"
62,Lẩu kim chi bò (2 người),"169,000"
63,Lẩu thái bò Mỹ (2 người),"189,000"
64,Lẩu thái bò Mỹ (4 người),"339,000"
65,Lẩu thái bò (4 người),"319,000"
66,Lẩu tomyum bò Mỹ (2 người),"189,000"
67,Lẩu kim chi bò (4 người),"319,000"
68,Lẩu tomyum hải sản (2 người),"169,000"
69,Lẩu tomyum hải sản (4 người),"319,000"
70,Lẩu kim chi hải sản (4 người),"319,000"
71,Lẩu tomyum bò (2 người),"169,000"
72,Lẩu kim chi bò Mỹ (4 người),"339,000"
73,Lẩu kim chi bò Mỹ (2 người),"189,000"
74,Lẩu thái bò (2 người),"169,000"
75,Lẩu tomyum bò (4 người),"319,000"
76,Lẩu tomyum bò Mỹ (4 người),"339,000"
77,Mực thêm - Lẩu,"35,000"
78,Bò Mỹ Thêm - Lẩu,"54,000"
79,Tôm thêm - Lẩu,"54,000"
80,Rau thêm - Lẩu,"35,000"
81,Thịt Heo thêm - Lẩu,"42,000"
82,Bò Úc Thêm - Lẩu,"47,000"
83,Nấm Bào Ngư Thêm,"23,000"
84,7up,"32,000"
85,Pepsi tươi SIZE L,"30,000"
86,7Up tươi SIZE L,"30,000"
