,Food,Price
0,Mỳ Kim Chi Bò Mỹ,"52,000"
1,Mì Cay Thập Cẩm,"62,000"
2,Mì cay kim chi Hải Sản,"52,000"
3,Mì cay kim chi bò,"48,000"
4,Mỳ Cay Kim Chi Sườn Sụn,"49,000"
5,Mỳ cay kim chi bạch tuộc,"52,000"
6,Mì cay  xúc xích ,"46,000"
7,Kim Báp,"38,000"
8,Takoyaki,"42,000"
9,Mì Gà,"49,000"
10,Mì trộn tương đen,"46,000"
11,Mì pho mai ,"47,000"
12, Nấm Kim Châm Thêm,"15,000"
13,Tôm Thêm,"25,000"
14,Kim Chi Thêm,"15,000"
15,Cá Viên Thêm,"15,000"
16,Sườn Sụn Thêm,"20,000"
17,Xúc Xích Thêm,"15,000"
18,Bò Thêm,"29,000"
19,Rau Thêm,"15,000"
20,Mỳ Thêm,"24,000"
21,Mực Thêm,"22,000"
22,Trà Đào,"23,000"
23,Trà Tắc,"17,000"
24,Trà Sữa,"23,000"
25,Trà Chanh,"17,000"
26,CoCa ,"18,000"
27,7Up,"18,000"
28,Sữa tươi chân châu đường đen,"35,000"
29,Lavie,"12,000"
30,Twister,"17,000"
31,Kim Bắc Chiên,"48,000"
32,Tockboki,"36,000"
33,Xoài  lắc muối ớt,"26,000"
34,Chân gà xả tắc ,"52,000"
35,Khoai Lang Kén,"30,000"
36,Nem  rán ,"28,000"
37,Đùi Gà Chiên,"27,000"
38,Cá viên chiên,"27,000"
39,Khoai tây chiên,"29,000"
40,Xúc xích chiên,"22,000"
41,Mực xoắn chiên,"30,000"
42,Pho mai que,"30,000"
43,Há cảo chiên ,"30,000"
44,Khoai Tây lắc pho mai,"27,000"
45,Hotdog chiên,"17,000"
46,Bánh gà chiên ,"27,000"
47,Mỳ Lẩu Thái Bò.Mỹ,"53,000"
48,Mỳ Lẩu Thái Thập Cẩm,"63,000"
49,Mỳ Lẩu Thái Hải Sản,"53,000"
50,Mỳ Lẩu Thái Bò,"49,000"
51,Mỳ Lẩu Thái Sườn Sụn,"53,000"
52,Mỳ Lẩu Thái Gà,"53,000"
53,Mì lẩu thái xúc xích,"45,000"
54,Lẩu thái thập Cẩm sét nhỏ,"299,000"
55,Lẩu bò Mỹ _ sườn sụn ,"255,000"
