,Food,Price
0,"Mì Quảng Tôm, Thịt, Trứng","35,000"
1,Mì Quảng Bò Trứng,"40,000"
2,Mì Quảng Gà Trứng,"45,000"
3,Mì Quảng Thập Cẩm,"60,000"
4,"Mì quảng Bò, Tôm, Trứng","40,000"
5,"Mì Quảng Gà, Tôm, Thịt, Trứng","35,000"
6,Mì Quảng Tôm Trứng,"40,000"
7,Mì Quảng Cá,"35,000"
8,Mì Quảng Ếch,"45,000"
9,Mì Quảng Sườn Trứng,"45,000"
10,Mì Quảng Thịt Trứng,"35,000"
11,"Mì Quảng Sườn, Tôm, Trứng","45,000"
12,Mì Quảng Đặc Biệt,"70,000"
13,"Mì Quảng Tôm, Gà, Trứng","45,000"
14,Ram (Chả Giò),"12,000"
15,Chả Bò,"15,000"
16,Nem Chua,"15,000"
