,Food,Price
0,Mì cọng xào bò Mỹ,"32,000"
1,Mì cọng xào xúc xích,"32,000"
2,Mì cọng xào ốc bươu,"32,000"
3,Mì cọng xào thịt nướng,"35,000"
4,Mì cọng xào hải sản,"36,000"
5,Mì cọng xào trứng ốp la,"28,000"
6,Mỳ cọng xào thập cẩm,"50,000"
7,Mì cay bò mỹ,"40,000"
8,Mì cay hải sản,"49,000"
9,Mì cay cá - bò viên,"35,000"
10,Mì cay ốc,"40,000"
11,Mì cay xúc xích,"35,000"
12,Mì cay đùi gà,"49,000"
13,Mì cay chả cá,"40,000"
14,Bánh gạo cay,"30,000"
15,Bắp xào bơ,"25,000"
16,Nem chua Hà Nội,"30,000"
17,Xúc xích Đức,"12,000"
18,Bò viên,"20,000"
19,Bánh gạo cay phô mai,"45,000"
20,Phô mai que,"20,000"
21,Đùi gà rán + khoai tây,"35,000"
22,Khoai tây chiên,"25,000"
23,Tô đũa muỗng thêm,"1,500"
24,Ốc nhồi,"20,000"
25,Khoai lang kén,"45,000"
26,Trìa hấp sả,"35,000"
27,Chân gà sả tắc,"35,000"
28,Xôi ếch,"35,000"
29,Xôi thịt nướng kim chi,"35,000"
30,Xôi đùi gà trứng,"35,000"
31,Bún ốc Hà Nội,"30,000"
32,Bún Thái bò Mỹ,"30,000"
33,Bún Thái hải sản,"30,000"
34,Trà sữa trân châu trắng,"25,000"
35,Trà sữa socola,"28,000"
36,Trà sữa pudding,"25,000"
37,Trà sữa đặc biệt,"35,000"
38,Soda vải,"25,000"
39,Soda dâu,"25,000"
40,Soda chanh dây,"25,000"
41,Soda đào,"25,000"
42,Soda kiwi,"25,000"
43,Milo cacao pudding,"28,000"
44,Milo trân châu,"28,000"
45,Milo cacao pudding dừa,"32,000"
46,Sữa chua đá,"25,000"
47,Sữa chua dâu,"28,000"
48,Sữa chua đào,"28,000"
49,Sữa chua kiwi,"28,000"
50,Trà đào,"25,000"
51,Trà vải,"25,000"
52,Trà tắc,"25,000"
53,Trà chanh,"25,000"
54,Trà chanh dây,"27,000"
55,Trà xanh kiwi,"27,000"
56,Trà xoài,"27,000"
57,Trà dâu kim quất,"27,000"
58,Sting,"15,000"
59,Pepsi,"15,000"
60,7 up,"15,000"
61,Nước suối,"10,000"
