,Food,Price
0,2 Mì Ý sốt bò Mỹ Vị Olive + 2 Coca-Cola chai,"91,800"
1,2 Mì Ý sốt bò Mỹ (vị ớt chuông ) +  2 Coca-Cola chai,"100,300"
2,2 Chai Coca-Cola,"21,600"
3,Mì Ý sốt bò Mỹ Vị Olive + 1 Coca-Cola chai,"45,900"
4,Mì Ý sốt bò Mỹ (vị ớt chuông ) + 1 Coca-Cola chai,"50,150"
5,1 Chai Coca-Cola,"10,800"
6,Coca-Cola chỉ 1Đ,"12,000"
7,Mì Ý sốt bò Mỹ Vị Olive,"42,000"
8,Mì Ý sốt bò Mỹ (vị ớt chuông ),"47,000"
9,Mì Ý sốt kem thịt xông khói,"70,000"
10,Mì ý olive + 100g bò,"105,000"
11,Mi ý meatball olive,"72,000"
12,Mì ý ớt chuông +  100g bò,"110,000"
13,Mỳ Ý Sốt Kem Gà,"72,000"
14,Nui Ý Sốt Kem Thịt Hun Khói,"70,000"
15,Mì ý meatball ớt chuông,"77,000"
16,Nui Ý Sốt Bò Mỹ Vị Olive,"42,000"
17,Nui Ý Sốt Bò Mỹ Vị Ớt Chuông ,"47,000"
18,Mỳ Ý Sốt Kem Bò Steak Phô Mai Đút Lò,"127,000"
19,Gà Sốt Chua Ngọt HQ ,"62,000"
20,Hạt Khoai Tây Ý Sốt Kem Thịt Hun Khói ( Potato Gnocchi ),"72,000"
21,Gà Sốt Teriyaki ,"62,000"
22,Gà Sốt   Chua Ngọt HQ Phô Mai,"82,000"
23,Hạt Khoai Tây Ý Sốt Olive Phô Mai Đút Lò( Potato  Gnocchi ),"85,000"
24,Gà Sốt Teriyaki Phô Mai,"82,000"
25,Bò Lúc Lắc Sốt  Teriyaki Pate  ,"98,000"
26,Mỳ Ý Sốt Kem Hải Sản ,"80,000"
27,Mỳ Ý Sốt Kem Hải SảnPhô Mai Đút Lò ,"109,000"
28,Mỳ Ý  Hải Sản ,"75,000"
29,Mỳ Ý Hải Sản Phô Mai Đút Lò ,"102,000"
30,Hạt Khoai Tây Ý Sốt Ớt Chuông Phô Mai Đút Lò ( Potato Gnocchi ),"90,000"
31,Beefsteak bò Mỹ (100gr),"70,000"
32,Beefsteak bò Mỹ (200gr),"130,000"
33,Nui beefsteak,"80,000"
34,Bò Mỹ Lúc Lắc Sốt Kem Tiêu Xanh,"88,000"
35,Beefsteak 200gram Bò + khoai tây chiên,"155,000"
36,Bò Mỹ Lúc Lắc  Sốt Tiêu Olive,"88,000"
37,Cơm Bò Lúc Lắc (100gram Bò Mỹ),"88,000"
38,Nui Ý Bò Mỹ Lúc Lắc,"88,000"
39,Bò Mỹ  Lúc Lắc Sốt Kem Phô Mai,"105,000"
40,5 miếng bò Mỹ 200g,"630,000"
41,Pasta Lasagna,"125,000"
