,Food,Price
0,Nem cuốn -  Rolled Nem Nướng ,"12,000"
1,NEM PHẦN - Traditional Nem Nướng,"59,000"
2,Nem chua (chiếc)- Fermented Nem,"8,000"
3,Nem nướng cây ,"12,000"
4,"Bún thịt nem nương-Vermicelli with Grilled Pork, nem Nương ","55,000"
5,Bún thịt nướng- Grilled Pork Vermicelli,"49,000"
6,Combo 14,"75,000"
7,"Bún thịt nướng, bò lá lốt ","55,000"
8,Thịt heo nướng gia vị 100gram ,"40,000"
9,Combo 9 (1pax),"75,000"
10,Combo 3 (1 pax),"75,000"
11,Bò nướng lá lốt - Grilled Minced Beef In Leaf ,"37,000"
12,Chả lụa - chiếc - Steamed Mince of Pork Cake ,"8,000"
13,Combo 8,"69,000"
14,Combo 5 (2 pax),"179,000"
15,Combo 4 (2 pax),"179,000"
16,Combo 12 (2 pax),"155,000"
17,Combo 11 (2 pax),"155,000"
18,Combo 10 (2pax),"155,000"
19,Nước mía siêu sạch 600ml,"19,000"
20,Rau má Bà Năm 600ml,"18,000"
21,7UP,"18,000"
22,Aquafina 500ml,"15,000"
23,Trà tắc thần thánh 600ml,"25,000"
24,Nước mía sầu riêng 51-600ml,"35,000"
25,Nha đam hạt chia ,"25,000"
26,Revive,"18,000"
