,Food,Price
0,Ưu đãi 10.10,"10,000"
1,1 set/10hủ Sữa chua phômai nhà làm(tặng 1 hủ),"90,000"
2,2 SET BÁNH CANH (Tặng 1 lon Coca),"100,000"
3,"Sét bánh canh bột gạo cắt-thịt viên,2tô/sét","50,000"
4,Bánh canh thêm,"10,000"
5,Nước cốt thịt,"40,000"
6,Combo : 3 Nem Nướng + 2 Bột Lọc,"192,000"
7,"Combo : 2 Bún Thịt Nướng + 1 Trà (đào,vải,kiwi)","92,000"
8,"Combo : 2 Bún Nem Nướng + Trà (đào,vải,kiwi)","92,000"
9,Combo: 3 Bánh Bột Lọc + 1 Rau Má,"98,000"
10,Combo : 3 Bún Nem Nướng + 3 Trà Trái Cây,"175,000"
11,Nem thêm( 1 cây),"7,000"
12,Bún thêm,"5,000"
13,Rau thêm,"10,000"
14,Combo: 2 Nem Nướng + 1 Rau Má,"99,000"
15,Combo : 1 Nem Nướng + 1 Trà Đào,"68,000"
16,Combo : 1 Bún thịt nướng +1 tàu hủ rong biển đá,"58,000"
17,Combo : 1 Bánh Bột Lọc+ 1 Rau Má Đậu Xanh,"39,000"
18, 1 Nem nướng+1 cocacola,"58,000"
19,Combo: 1 nem nướng+ 1 tàu hủ rong biển,"68,000"
20,2 nem nướng+ 2 cocacola,"115,000"
21,1 bún thịt nướng+1 cocacola,"48,000"
22,Combo 2 Nem Nướng + Coca,"125,000"
23,Combo Bè Bạn: 3 Bún Thịt Nướng + 3 Trà Trái Cây (Tuỳ chọn),"175,000"
24,Nem Nướng Ninh Hòa,"45,000"
25,Bún Thịt Nướng,"35,000"
26,Bún Nem Nướng,"35,000"
27,Rau má đậu xanh,"10,000"
28,Trà vải,"25,000"
29,Tàu hủ rong biển đá,"25,000"
30,Trà đào,"25,000"
31,Trà kiwi,"25,000"
32,Sting,"15,000"
33,Coca,"15,000"
34,Pepsi,"15,000"
35,7 up,"15,000"
36,Nước suối,"10,000"
37,Bánh bột lọc,"30,000"
38,Sữa chua phômai nhà làm(sét 10 hủ),"90,000"
