,Food,Price
0,Caramel ,"12,000"
1,Bông Lan Trứng Muối,"50,000"
2,Su Kem Truyền thống,"50,000"
3,Cheese Chanh Leo,"32,000"
4,Cheese Việt Quất,"32,000"
5,Pudding Đậu Nành Chân Trâu,"23,000"
6,Gato Chocolate,"45,000"
7,Castella Chocolate,"45,000"
8,Cheese Caramel,"32,000"
9,Cheese Sữa Chua,"32,000"
10,Bánh Kem Dừa,"45,000"
11,Cheese Dừa,"32,000"
12,Trà Đào Cam Sả,"33,000"
13,Trà Kim Quất Xí Muội,"33,000"
14,Trà Kim Quất Nha Đam,"33,000"
15,Trà Vải Dâu,"33,000"
16,Trà Đậu Biếc Xí Muội,"33,000"
17,Trà Đào,"30,000"
18,Trà Xoài Chanh Leo,"33,000"
19,Trà Xoài Cam,"33,000"
20,Trà Bưởi Hồng,"33,000"
21,Sữa Chua Đá Xay Chanh Leo,"38,000"
22,Sữa Chua Đá Xay Đào,"38,000"
23,Sữa Chua Chanh Leo Cam,"38,000"
24,Sữa Chua Đá Xay Việt Quất,"38,000"
25,Chocomint Java,"38,000"
26,Sữa Chua Đá Xay Kiwi,"38,000"
27,Tắc tuyết,"38,000"
28,Sữa Chua Đá Xay Xoài,"38,000"
29,Peachie Ade,"35,000"
30,Amethyst Rave (Passion Fruit Ade),"35,000"
31,Tropical Ade,"35,000"
32,Citron Ade,"35,000"
33,Sữa Chua Hút Tí Nị,"12,000"
34,Matcha Latte,"35,000"
35,Cacao Latte,"32,000"
