,Food,Price
0,Bông Lan Trứng Muối Sốt Dầu Trứng (Best Seller),"70,000"
1,Bánh Trà Sữa Trân Châu Cốt Matcha,"75,000"
2,Bông Lan Trứng Muối Mix Bò Khô,"75,000"
3,Bánh Milo Kem Mặn,"75,000"
4,Red Velvet Nhà Pink,"55,000"
5,Bông Lan Trứng Muối Đặc Biệt (Best Seller),"75,000"
6,Bông Lan Trứng Muối Nguyên Quả,"85,000"
7,Mousse Chanh Leo,"50,000"
8,Bông Lan Trứng Muối SIÊU TOPPING,"90,000"
9,Bông Lan Trứng Muối Mix Ruốc Gà Hàn Quốc,"75,000"
10,Bông Lan Ruốc Gà Hàn Quốc,"65,000"
11,Oreo Cheese Cake,"55,000"
12,Bông Lan Bò Khô,"70,000"
13,Bánh Kem Trứng Dừa Nướng,"60,000"
14,Mousse Dâu Tằm,"45,000"
15,Mousse Dâu Tây,"50,000"
16,Mousse Mận ,"45,000"
17,Tiramisu Matcha ,"80,000"
18,Tiramisu Mứt Việt Quất Mix Dâu Tây,"90,000"
19,Tiramisu Cacao,"80,000"
20,Tiramisu Cacao Mix Dâu Tây (Must Try),"90,000"
21,Tiramisu Cacao Mix Matcha,"80,000"
22,Tiramisu Dâu Tây Tươi,"90,000"
23,Tiramisu Mứt Xoài Mix Cacao,"80,000"
24,SET MOUSSE LẠNH HỘP MICA,"140,000"
25,Macarons Box,"140,000"
26,Hồng Trà Sữa Trân Châu Kem Mặn,"38,000"
27,Trà Đào Sả,"38,000"
28,Nến sinh nhật,"12,000"
29,Topper HPBD ngẫu nhiên,"12,000"
30,Cake Chuối Choco Chip (MUST TRY),"78,000"
31,Cake Chuối  ,"70,000"
32,Bánh Mỳ Hoa Cúc Hạnh Nhân (MUST TRY),"85,000"
