,Food,Price
0,Đậu Hủ Sốt Xá Xíu - Tofu With Dizzy Sauce,"39,000"
1,Mỳ Trộn Chay Xanh - Mixed Noodles,"59,000"
2,Nấm bào ngư chiên giòn-Fried mushrooms,"55,000"
3,Mì Xào Giòn-Crispy fried noodles,"55,000"
4,Nấm bào ngư hấp xả-Steamed mushrooms with lemongrass,"59,000"
5,Gỏi Nấm Mối - Termite Mushrooms Salad,"70,000"
6,Súp Chay Xanh - Chayxanh Soup,"39,000"
7,Cháo Nấm Hạt Sen - Straw Mushrooms,"45,000"
8,Gỏi Chay Xanh - Green Vegetarian Salad ,"49,000"
9,Cháo Nấm Mối Đen - Rooting Shanik Mushrooms Congee,"65,000"
10,Chả giò tráii cây-Fruit spring rolls,"49,000"
11,Củ sen chiên rắc phô mai-Fried lotus root with cheese,"50,000"
12,Cơm Trộn Chay Xanh Đặc Biệt - Specical Mixed Rice,"80,000"
13,Cơm Chiên Chay Xanh Đặc biệt - Special chayxanh Fried Rice,"80,000"
14,Nấm Kho Hạt Sen - Lotus Seed Warehouse Mushrooms,"80,000"
15,Súp Nấm Mối Đen - Termite Mushrooms Soup,"65,000"
16,Cơm Trắng - White Rice,"9,000"
17,Canh Mướp Nấm - Luffa Soup,"49,000"
18,Đậu Hủ Kho Nấm - Braised Tofu With Mushrooms,"49,000"
19,Nấm Đùi Gà Kho Đậu Hũ - Stocked Mushrooms ,"59,000"
20,Canh Rong Biển Seaweed Soup,"35,000"
21,Cơm Trộn Chay Xanh - Chayxanh Mixed Rice,"59,000"
22,Cơm chiên Chay Xanh- Chay Xanh fried rice,"59,000"
23,Cơm Lứt Gạo 6 Tháng - Brown Rice ,"12,000"
24,Mì Ý Sốt Cà Nấm - Spaghetti With Tomato,"49,000"
25,Cải Thìa Nấm Đông Cô - Shiitake Mushrooms ,"55,000"
26,Canh Cải Xanh Nấm - Green Mustard And Mushrooms Soup,"35,000"
27,Nấm Mối Xào Mướp - Braised Mushrooms With Luffa,"65,000"
28,Nấm Đông Cô Kho Thơm - Braised Mushrooms Pineapple ,"55,000"
29,Nấm Mối Kho Đậu Hủ - Braised Rooting Mushrooms,"70,000"
30,Nấm thập cẩm kho thơm- braised mushrooms with pineapple,"65,000"
31,Lẩu Nấm 2 Người - Hotpot Fish Sauce 4 People,"180,000"
32,Lẩu Nấm 4 Người - Hotpot Fish Sauce 4 People,"250,000"
33,Lẩu Thái 4 Người - 4 Person Thái Hotpot,"265,000"
34,Lẩu Mắm 2 Người - Hotpot Fish Sauce 2 People,"180,000"
35,Lẩu Mắm 4 Người - Hotpot Fish Sauce 4 People,"250,000"
36,Lẩu Đặc Biệt 4 người-Specical hotpot 4 persons,"350,000"
37,Lẩu Đặc Biệt 2 người-Specical hotpot 2 persons,"265,000"
38,Nấm Rơm Thêm - Additional Straw Mushrooms,"25,000"
39,Đậu Hũ Thêm - Additional Tofu,"15,000"
40,Nấm Mối Thêm - Additional Rooting Shank Mushrooms,"40,000"
41,Rau Lẩu Thêm - Additional Hotpot Vegetables,"55,000"
