,Food,Price
0,Heo rừng hấp giấy bạc,"160,000"
1,Heo rừng nướng giấy bạc,"160,000"
2,Giò heo non - bánh mỳ,"130,000"
3,Sườn heo lụi rơm - trái cây,"130,000"
4,Sườn cốt lết sốt cam,"130,000"
5,Bò sốt vang - bánh mỳ,"135,000"
6,Bắp bò - kim chi - mắm gừng,"135,000"
7,Bò bít tết khoai tây chiên,"135,000"
8,Bò lúc lắc khoai tây chiên,"135,000"
9,Bò cuộn cải mù tạc,"120,000"
10,Cá diêu hồng phi lê chiên giòn,"130,000"
11,Cá hồng mỹ hấp ngũ liễu quấn bánh tráng,"160,000"
12,Cá lóc chiên sả trứng,"130,000"
13,Cá mú hấp hành tính theo kg,"600,000"
14,Cá dìa hấp mồng tơi/1kg,"400,000"
15,Mắm dưa cà,"10,000"
16,Thịt kho sả ruốc,"10,000"
17,Cà muối,"10,000"
18,Mắm tép,"10,000"
19,Mắm rò,"10,000"
20,Tôm chua,"10,000"
21,Cháo hải sản,"120,000"
22,Tóp chiên mắm,"55,000"
23,Cháo hàu,"120,000"
24,Cháo cá dìa,"120,000"
25,Món thỏ hon,"135,000"
26,Món thỏ bóp,"135,000"
27,Món thỏ roti,"135,000"
28,Cháo gà,"120,000"
29,Tóp rang lá chanh,"55,000"
30,Cháo trìa,"120,000"
31,Cháo bò,"120,000"
32,Khuôn đậu nhồi thịt sốt cà,"90,000"
33,Trứng đúc thịt băm,"85,000"
34,Chả trứng,"70,000"
35,Đậu hủ non hấp tôm thịt,"110,000"
36,Trứng cuộn hành,"80,000"
37,Đậu khuôn sả ớt,"95,000"
38,Khuôn đậu sốt cà,"80,000"
39,Nem rán Huế,"90,000"
40,Khuôn đậu lướt ván,"60,000"
41,Đậu hủ non sốt hải sản,"115,000"
42,Pepsi,"15,000"
43,Soda chanh,"28,000"
44,Bò húc,"18,000"
45,Coca,"15,000"
46,Bí đao,"15,000"
47,Revive,"15,000"
48,Nutri,"15,000"
49,Nước suối,"10,000"
50,7 Up,"15,000"
51,Soda bạc hà,"28,000"
52,Thịt tôm kho rim,"115,000"
53,Thịt heo kho ruốc Huế,"85,000"
54,Sườn heo rim me,"115,000"
55,Thịt heo - dưa giá - tôm chua,"110,000"
56,Sườn heo kho măng,"130,000"
57,Thịt ba chỉ rang cháy cạnh,"110,000"
58,Thịt ba chỉ kho tộ,"105,000"
59,Thịt heo quay - dưa giá - tôm chua,"130,000"
60,Bò xào cải chua,"120,000"
61,Bò xào bông cải,"120,000"
62,Thịt kho trứng nước dừa,"115,000"
63,Bò xào hành cần,"120,000"
64,Bò xào lá lốt,"120,000"
65,Gàu bò xào khế,"110,000"
66,Bò xào sa tế ,"120,000"
67,Bún xương bò,"40,000"
68,Bún thập cẩm,"40,000"
69,Ốp la thập cẩm,"35,000"
70,Bún bò (nhúng + nồi) + chả,"35,000"
71,Bún giò + chả,"35,000"
72,Ốp la 2 trứng,"25,000"
73,Ốp la bò,"30,000"
74,Ốp la xíu mại,"30,000"
75,Ốp la xúc xích,"30,000"
76,Tôm rim,"120,000"
77,Mực xào thơm cà,"120,000"
78,Mực xào sa tế,"120,000"
79,Mực ống nhồi sốt cà,"180,000"
80,Tôm xóc tỏi,"140,000"
81,Bò nướng lá lốt,"120,000"
82,Gà nướng lá chanh 1/2 con,"135,000"
83,Sườn nướng,"110,000"
84,Ba chỉ nướng,"95,000"
85,Bò nướng ngũ sắc,"95,000"
86,Tôm nướng muối ớt,"150,000"
87,Diềm nướng,"90,000"
88,Gà nướng lá chanh,"260,000"
89,Chình nướng sa tế,"185,000"
90,Hàu nướng mọi,"90,000"
91,Heo nướng xiên ,"90,000"
92,Bò nướng giấy bạc,"110,000"
93,Mực ống nướng,"180,000"
94, Mực nướng sa tế,"180,000"
95,Mực nướng kim chi,"180,000"
96,Cá diên hồng nướng giấy bạc,"130,000"
97,Hàu nướng mỡ hành,"90,000"
98,Canh bí đao nấu thịt băm/ tôm,"95,000"
99,Canh gàu bò khế,"115,000"
100,Canh bí đao nấu cua đồng,"95,000"
101,Canh thơm nấu cá bụng thệ,"120,000"
102,Canh hoa chuối nấu tôm/ bò/ hến,"115,000"
103,Ếch rang lá chanh (dĩa) ,"95,000"
104,Ếch chiên bơ tỏi (dĩa),"95,000"
105,Ếch xào sả ớt (dĩa),"95,000"
106,Ếch bóp (dĩa),"95,000"
107,Gà chiên mắm,"135,000"
108,Gà roti 1/2 con,"135,000"
109,Gà hấp hành,"135,000"
110,Gà hấp mắm nhỉ 1/2 con,"135,000"
111,Gà xé bóp 1/2 con,"125,000"
112,Gà rang muối 1/2 con,"135,000"
113,Gà xông khói,"260,000"
114,Gà rang muối,"260,000"
115,Gà roti,"260,000"
116,Gà hấp mắm nhỉ,"260,000"
117,Gà xông khói 1/2 con,"135,000"
118,Gà xé bóp,"240,000"
119,Cá bống kho tiêu/ kho dừa,"115,000"
120,Cá nục kho rim,"85,000"
121,Cá lóc kho tộ,"110,000"
122,Cá bớp kho thơm,"120,000"
123,Cá lóc hấp bầu,"130,000"
124,Cá bớp hấp hành,"120,000"
125,Cá trê chiên + dưa môn,"115,000"
126,Cá phát lát chiên chấm mắm tỏi,"110,000"
127,Cá đối kho tương/ kho rim,"115,000"
128,Cá thu chiên sốt cà,"120,000"
129,Cá bớp chiên sốt tỏi ớt,"120,000"
130,Cá diêu hồng chiên sốt ớt tỏi,"120,000"
131,Cá diêu hồng kho tộ,"110,000"
132,Cá dìa hấp mồng tơi tính theo kg,"400,000"
133,Trà đào cam sả,"32,000"
134,Trà gừng mật ong,"28,000"
135,Trà vải machiato,"35,000"
136,Trà vải,"32,000"
137,Trà ô long machiato,"35,000"
138,Trà đào machiato,"35,000"
139,Trà lipton,"22,000"
140,Trà gừng,"25,000"
141,Trà chanh,"22,000"
142,Rau củ luộc kho quẹt,"85,000"
143,Rau muống xào tỏi,"70,000"
144,Cà tím chiên mắm,"70,000"
145,Súp lơ xào bò / tôm,"105,000"
146,Mít trộn tôm thịt,"95,000"
147,Rau lang luộc - mắm ruốc,"60,000"
148,Đọt bí xào tỏi,"80,000"
149,Vả trộn tôm thịt,"95,000"
150,Măng trộn tôm thịt,"100,000"
151,Cải thìa xào tôm,"90,000"
152,Cải thìa xào nấm,"90,000"
153,Rau dền luộc - mắm ruốc ,"70,000"
154,Cà tím hấp mỡ hành - mắm gừng,"75,000"
155,Mướp ngọt xào lòng gà/ vịt,"90,000"
156,Mướp ngọt xào tôm,"90,000"
157,Rau muống luộc - mắm ruốc,"60,000"
158,Nấm xào hải sản,"115,000"
159,Bầu chân tôm kho đánh,"80,000"
160,Mướp đắng xào trứng,"70,000"
161,Đọt bí xào thịt hộp,"100,000"
162,Khoai tây chiên,"45,000"
163,Salad cá ngừ,"100,000"
164,Salad bò,"100,000"
165,Xúc xích ,"15,000"
166,Cà phê muối,"25,000"
167,Bạc xỉu,"22,000"
168,Espresso đen,"18,000"
169,Cà phê phin đen/ sữa,"21,000"
170,Cà phê dừa,"27,000"
171,Cà phê đen Sài Gòn,"20,000"
172,Cà phê sữa Sài Gòn,"22,000"
173,Cà phê thạch đá xay,"35,000"
174,Épresso sữa,"21,000"
175,Sữa chanh dây,"28,000"
176,Sữa nóng,"24,000"
177,Cacao đá xay,"35,000"
178,Sữa cacao,"28,000"
179,Sữa đá chanh,"24,000"
180,Sữa chua đá,"24,000"
181,Sữa chua dâu,"28,000"
182,Sữa chua trái cây dằm,"32,000"
183,Cải ú xào tỏi,"60,000"
184,Cải thìa xào bò,"100,000"
185,Bầu xào tôm,"95,000"
186,Đọt bí xào bò,"100,000"
187,Dưa vả chấm ruốc,"60,000"
188,Mít non chấm mắm nêm,"70,000"
189,Măng luộc chấm nước mắm,"75,000"
190,Sinh tố bơ,"32,000"
191,Sinh tố chuối,"32,000"
192,Sinh tố dâu tây,"32,000"
193,Sinh tố cà rốt,"32,000"
194,Sinh tố bốn mùa,"32,000"
195,Sinh tố dứa,"32,000"
