,Food,Price
0,Chả cá lăng,"169,000"
1,Cá lăng om chuối đậu,"219,000"
2,Chả giò cá,"19,000"
3,Khoai tây chiên,"45,000"
4,Salad cà chua dưa chuột,"49,000"
5,Salad miến tôm kiểu Thái,"129,000"
6,Gỏi cá lăng,"129,000"
7,Bao tử cá lăng xào hành thì là,"149,000"
8,Bao tử cá lăng xào dưa cải,"149,000"
9,Lòng cá lăng xào hành thì là,"129,000"
10,Lòng cá lăng xào dưa cải,"129,000"
11,Lòng cá lăng xào nấm,"199,000"
12,Cá lăng nướng muối ớt kèm đồ cuốn,"219,000"
13,Cá lăng nướng riềng mẻ kèm đồ cuốn,"219,000"
14,Cá lăng om mẻ nghệ,"219,000"
15,Cá lăng nấu măng cay,"219,000"
16,Lẩu đầu cá lăng,"249,000"
17,Lẩu đầu cá lăng om dọc mùng,"249,000"
18,Lẩu đầu cá lăng om măng cay,"249,000"
19,Lẩu cá lăng đặc biệt,"399,000"
20,Cá lăng theo ký (1 kg),"330,000"
21,Rau muống xào tỏi,"45,000"
22,Rau mồng tơi xào tỏi,"45,000"
23,Khổ qua xào trứng,"45,000"
24,Cơm chiên trứng,"59,000"
25,Cơm chiên thập cẩm,"119,000"
26,Mì xào bò,"119,000"
27,Bò lúc lắc,"179,000"
28,Bò bít tết,"179,000"
29,Canh cá,"89,000"
30,Nước suối,"15,000"
31,Coca,"18,000"
32,Coca light,"18,000"
33,Sprite,"18,000"
34,Soda,"18,000"
35,Cam ép,"18,000"
36,Budweises lon,"25,000"
37,Budweises alu,"55,000"
38,Corona,"50,000"
39,Hoegaaeden,"55,000"
40,Leffe blonde,"60,000"
41,Leffe brune,"60,000"
42,Yali swan cabernet sauvignon,"590,000"
43,Vantisquero clasico cabernet sauvignon,"650,000"
44,Vantisquero reserva cabernet sauvignon,"920,000"
45,Queulat gran reserva cabernet sauvignon,"1,150,000"
46,Yali swan cabernet blanc,"590,000"
47,Vantisquero clasico chardonay,"650,000"
48,Vantisquero reserva chardonay,"920,000"
49,Queulat gran reserva sauvignon blanc,"1,150,000"
