,Food,Price
0,Sữa Tươi Thốt Nốt Rim,"32,000"
1,Sữa Tươi Hạt Đác,"32,000"
2,TRÀ SỮA THỐT NỐT RIM,"32,000"
3,TRÀ SỮA HẠT ĐÁC RIM,"32,000"
4,Socola Trân Châu Đường Đen,"32,000"
5,Sữa Tươi Trân Châu  Đường Đen,"32,000"
6,TRÀ SỮA TRÂN CHÂU,"32,000"
7,Matcha Trân Châu,"32,000"
8,SÂM DỪA HẠT  CHIA,"27,000"
9,Chè Hạt Đác,"27,000"
10,SỮA KHOAI MÔN,"32,000"
11,SỮA TƯƠI DỪA NƯỚC RIM,"32,000"
12,Trà  đào,"30,000"
13,Sữa Tươi Hạt Đác Rim,"32,000"
14,MATCHA THỐT NỐT RIM,"32,000"
15,SỮA KHOAI MÔN TRÂN CHÂU,"32,000"
16,MATCHA HẠT ĐÁC,"32,000"
17,TRÀ SỮA DỪA NƯỚC RIM,"32,000"
18,SỮA KHOAI MÔN MIX HẠT ĐÁC RIM,"32,000"
19,SỮA TƯƠI THỐT NỐT RIM,"32,000"
20,SỮA KHOAI MÔN MIX THỐT NỐT RIM,"32,000"
21,SỮA TƯƠI CỦ NĂNG RIM,"32,000"
22,TRÀ SỮA  DỨA  CỦ NĂNG,"32,000"
23,SỮA KHOAI MÔN  MIX CỦ NĂNG,"32,000"
24,Trà Dâu,"30,000"
25,Sữa Sen,"32,000"
26,MATCHA TRÂN CHÂU.,"32,000"
27,MATCHA CỦ NĂNG RIM,"32,000"
