,Food,Price
0,Bún A Nhĩu,"44,000"
1,Bún Đặc Biệt,"62,000"
2,Mì A Nhỉu,"44,000"
3,Chân gà rút xương sốt thái,"50,000"
4,Mì Đăc Biệt,"62,000"
5,Bún Chả Cá,"32,000"
6,Tép Chấu chiên Bắp Chuối,"73,000"
7,Chân gà rút xương chiên giòn,"50,000"
8,Chả  Giò Thịt,"59,000"
9,Ram  Tôm Đất Bình Định,"59,000"
10,Mì Chả Cá,"32,000"
11,Bún cá chèo bẻo,"62,000"
12,Chả Cá Phi Chiên,"32,000"
13,Bún Tá Lả,"38,000"
14,Bún Chả Giò,"34,000"
15,Bún Mực,"44,000"
16,Bún ốc mắm nêm đặc biệt,"52,000"
17,Bún ốc mắm nêm,"32,000"
18,Bún chả cá phi chiên,"32,000"
19,Mì Cá Chèo Bẻo,"62,000"
20,Bún Ram Tôm,"34,000"
