,Food,Price
0,Bingsu trái cây ,"79,000"
1,Bingsu socola oreo,"74,000"
2,Bingsu xoài,"74,000"
3,Bingsu dưa lưới ,"74,000"
4,Bingsu socola chuối,"74,000"
5,Bingsu dưa lưới - dưa hấu ,"74,000"
6,Bingsu dưa hấu,"74,000"
7,Bingsu đào,"74,000"
8,Bingsu Happy Birthday,"99,000"
9,Coffee sữa đá,"25,000"
10,Coffee Socola ,"38,000"
11,Bạc xỉu,"30,000"
12,Coffee đen đá,"20,000"
13,Cacao sữa đá,"38,000"
14,Trà sữa Truyền thống,"32,000"
15,Sữa tươi trân châu đường đen,"32,000"
16,Trà sữa socola,"38,000"
17,Trà sữa matcha,"38,000"
18,Thạch trái cây,"5,000"
19,Mango Matcha Latte,"40,000"
20,Trà Sữa Chai 330ml,"38,000"
21,Blueberry Matcha Latte,"40,000"
22,Yogurt dâu,"32,000"
23,Yogurt việt quất,"32,000"
24,Yogurt đào,"32,000"
25,Yogurt kiwi,"32,000"
26,Sữa chua uống Trân Châu chai 330ml,"38,000"
27,Yogurt phúc bồn tử,"32,000"
28,Yogurt chanh dây,"32,000"
29,Yogurt truyền thống,"30,000"
30,Yogurt dưa lưới,"32,000"
31,Soda việt quất,"30,000"
32,Soda kiwi,"30,000"
33,Soda đào,"30,000"
34,Soda dâu,"30,000"
35,Soda phúc bồn tử,"30,000"
36,Soda chanh,"30,000"
37,FANTA,"18,000"
38,Nước chanh,"18,000"
39,Pepsi Không Calo,"18,000"
40,Nước suối,"10,000"
41,7 Up,"18,000"
42,Sting,"18,000"
43,Mì trộn thập cẩm vị Sườn,"50,000"
44,Cá viên,"32,000"
45,Mì trộn thập cẩm vị Bò,"50,000"
46,Khoai tây chiên,"28,000"
47,Xúc xích Đức,"35,000"
48,Thập cẩm nhỏ,"90,000"
49,Phô mai que sữa,"15,000"
50,Chả cá bắp,"35,000"
51,Chả cá trứng cút,"32,000"
52,Thập cẩm lớn,"140,000"
53,Tôm chiên xù,"35,000"
54,Gà cầu vòng,"35,000"
55,Gà xay chiên giòn,"35,000"
56,Mì trộn vị Sườn,"22,000"
57,Mì trộn vị Bò,"22,000"
58,Thập cẩm xiên que nhỏ,"90,000"
59,Thập cẩm xiên que lớn,"140,000"
60,Nước ép Cam,"32,000"
61,Nước ép Táo -Ổi- Carot,"38,000"
62,Nước ép Dưa Hấu,"32,000"
63,Nước ép Thơm,"32,000"
64,Chanh dây Yakul ,"32,000"
65,Nước ép Táo,"38,000"
66,Nước ép Táo-Thơm-Carot,"38,000"
67,Nước ép Táo-Ổi,"38,000"
68,Chanh dây,"32,000"
69,Nước ép Thơm-Carot,"32,000"
70,Nước ép Carot,"32,000"
71,Nước ép  Ổi,"32,000"
72,Trà đào cam sả,"32,000"
73,Trà tắc,"21,000"
74,Trà dâu Olala,"32,000"
75,Trà Lipton,"20,000"
76,Trà đào- chanh dây,"38,000"
77,Trà trái cây nhiệt đới Olala,"50,000"
78,Sinh tố Bơ ,"35,000"
79,Sinh tố Xoài,"35,000"
