,Food,Price
0,O2 - 20 miếng cá hồi Na Uy,"299,000"
1,O1 - 10 miếng cá hồi Na Uy,"189,000"
2,Mix Sashimi -20 miếng,"319,000"
3,O12 - 10 miếng cá hồi -  10 bụng cá hồi,"289,000"
4,"O9 - 10 miếng cá hồi, 5 miếng bụng cá hồi, 5 miếng cá trích","289,000"
5,O11 - 10 miếng cá hồi - 5 miếng cá trích - 5 miếng cá ngừ,"289,000"
6,O5 - 10 miếng bụng cá hồi Na Uy,"209,000"
7,O6 - 20 miếng bụng cá hồi Na Uy,"299,000"
8,O4 - 10 miếng cá trích ép trứng,"249,000"
9,O10 - 10 miếng cá hồi - 5 miếng bụng cá hồi - 5 miếng ngừ,"289,000"
10,O15 - 10 miếng bụng cá  hồi - 5 miếng cá trích - 5 miếng cá ngừ,"319,000"
11,O8 - 10 miếng bạch tuộc Nhật,"179,000"
12,"MASA - 20 miếng cá hồi, 10 miếng bụng cá hồi","429,000"
13,"O14 - 10 miếng cá hồi Nauy, 10 miếng cá trích ép trứng","349,000"
14,O3 - 10 miếng cá ngừ,"179,000"
15,O7 - 10 miếng sò đỏ Canada,"249,000"
16,TAKA - 30 miếng cá hồi Nauy,"409,000"
17,"HITOSHI - 10 miếng cá hồi, 10 miếng cá trích, 10 miếng sò đỏ","569,000"
18,Osaka 16 - 6 miếng sò điệp Hokkaido,"259,000"
19,"O24 - 10 miếng cá trích, 5 cá hồi, 5 bụng cá hồi","349,000"
20,Cơm lươn nướng sốt Teriyaki,"189,000"
21,Sụn gà rang muối Nhật,"109,000"
22,Mỳ ý thịt cua sốt kem cá hồi,"179,000"
23,Chicken Karage,"109,000"
24,Udon sốt trứng muối & bacon,"179,000"
25,Mỳ ý kim chi hải sản,"169,000"
26,Tuna tataki,"199,000"
27,Salmon tataki,"199,000"
28,Cuốn da cá hồi chiên giòn,"139,000"
29,Cuốn California,"139,000"
30,Unagi roll,"109,000"
31,Cuốn bơ cá hồi,"139,000"
32,Nami roll,"109,000"
33,Ebitem cheese roll,"99,000"
34,Ebitem roll,"99,000"
35,Osaka sushi 6,"239,000"
36,Osaka sushi 3,"169,000"
37,Osaka sushi 2,"169,000"
38,Osaka sushi 1,"169,000"
39,Osaka sushi 5,"199,000"
40,Osaka sushi 4,"199,000"
41,"Nigiri 2 - Tôm, Thanh cua, Trứng","89,000"
42,Big Nigiri,"189,000"
43,"Nigiri 3 - Bạch tuộc, Cá hồi, Cá Trích","99,000"
44,"Nigiri 1 - Trứng , Cá hồi, Cá trích","89,000"
45,Okini,"429,000"
46,Yumi 4,"419,000"
47,Yumi 5,"419,000"
48,Yumi 1,"429,000"
49,Yumi 3,"419,000"
50,Yumi 2,"419,000"
51,Sumo 1,"629,000"
52,Sumo 3,"1,399,000"
53,Maki cá hồi,"59,000"
54,Maki thanh cua,"49,000"
55,Maki bơ,"59,000"
56,Maki trứng,"39,000"
57,Maki cá ngừ,"59,000"
58,Salad bơ cá hồi,"139,000"
59,Salad da cá hồi,"139,000"
60,Salad hữu cơ & sashimi sốt cay,"139,000"
61,Cá hồi ngâm tương truyền thống,"179,000"
62,Cá hồi ngâm tương sốt truffle,"199,000"
63,Gừng hồng 10g,"6,000"
64,Wasabi Nhật,"12,000"
65,Nước tương nhật,"12,000"
66,Rong nho 100g,"59,000"
67,Sốt thêm,"20,000"
68,Đậu Nành Nhật muối(100g) - Edamame,"59,000"
