,Food,Price
0,Original Cofee (iced),"70,000"
1,Plain Yogurt Smoothie,"80,000"
2,Green Grapes Flower Tea (iced),"70,000"
3,Green Tea Latte (iced),"79,000"
4,Brown Sugar Bubble,"80,000"
5,Strawberry Banana Smoothie,"80,000"
6,Caramel Macchiato (cold),"80,000"
7,Choco Banana Smoothie,"80,000"
8,Coconut Coffee  Smoothie,"80,000"
9,Chocolate Latte (cold),"75,000"
10,Cafe Latte (cold),"75,000"
11,Vanilla Latte,"80,000"
12,Lemon Tea,"70,000"
13,Plain Croffle,"50,000"
14,Mango Smoothie,"75,000"
15,Mango Bannana Smoothie,"80,000"
16,Americano (cold),"60,000"
17,Caramenl Macchiato (hot),"80,000"
18,Avocado Choco Smoothie,"75,000"
19,Americano (hot),"60,000"
20,Jajangmyeon (Regular),"151,200"
21,Jajangmyeon (Double),"172,800"
22,Tangsuyuk (S),"356,400"
23,Jjajang-Bap,"172,800"
24,Bokkeum Jjamppong,"226,800"
25,Jjamppong (Regular),"194,400"
26,Tangsuyuk (L),"464,400"
27,Tangsuyuk (M),"410,400"
28,Jaengban Jjajang,"367,200"
29,Jjamppong (Double),"216,000"
30,Jjamppong Bap ,"194,400"
31,Tteokbokki,"75,600"
32,Japchae,"97,200"
33,Pork Bibimbap,"129,600"
34,Spicy Pork Bibimbap,"129,600"
35,Steamed Egg,"54,000"
36,Sobulgogi Bibimbap,"151,200"
37,Teriyaki Chicken Bibimbap,"129,600"
38,Spam Mayo Over Rice,"140,400"
39,Mu Saeng Chae 500g,"86,400"
40,Spicy Bibim Noodle,"129,600"
41,Warm noodles with Soy sauce,"129,600"
42,Seafood Bibimbap,"129,600"
43,Marinated Tofu Bibimbap,"129,600"
44,Tuna Salad Over Rice,"129,600"
45,Woosamgyeop Bibimbap,"140,400"
46,Mu Saeng Chae 1kg,"162,000"
47,Japchae Over Rice,"129,600"
48,Doenjang Jjigae,"172,800"
49,Sogogi Gukbap,"194,400"
50,Haemul Buchu Jeon,"172,800"
51,Chilbun Dwaeji Kimchi,"194,400"
52,Haemul Kimchi Jeon,"194,400"
53,Sundubu Jjigae,"172,800"
54,Sabal Jumeokbap,"64,800"
55,Cabbage kimchi (500g),"86,400"
56,Japchae ,"259,200"
57,sabal jumeokbap,"64,800"
58,Cheese Gyeran-Mari,"216,000"
59,Delivery BBQ Combo,"648,000"
60,Samgyeopsal - 2 pax,"518,400"
61,Yetnal Dosirak,"118,800"
62,So-galbisal - 2 pax,"712,800"
63,Yangnyeom Dwaeji Galbi - 2 pax,"583,200"
64,Chamisul,"165,000"
65,Chumchurum,"165,000"
66,Seng Makkoli (750ml),"264,000"
67,Galbi Chicken (Half Portion),"226,800"
68,Yangyeom Fried Chicken (Half Portion),"226,800"
69,Original Fried Chicken (Half Portion),"205,200"
70,Galbi Chicken (Full Portion),"388,800"
71,Spicy Dakgalbi with Cheese - 2 pax,"518,400"
72,Soy Tteokbokki - 2 pax,"345,600"
73,Spicy Dakgalbi - 2 pax,"388,800"
74,Teriyaki Dakgalbi - 2 pax,"388,800"
75,Spicy Tteokbokki - 2 pax,"345,600"
76,Yangyeom Fried Chicken (Full Portion),"388,800"
77,Spicy Tteokbokki with Cream - 2 pax,"453,600"
78,Spicy Dakgalbi with cheese - 3 pax,"777,600"
79,Original Fried Chicken (Full Portion),"345,600"
80,Spicy Dakgalbi - 3 pax,"583,200"
81,Soy Tteokbokki - 3 pax,"518,400"
82,Spicy Tteokbokki - 3 pax,"518,400"
83,Teriyaki Beef -3 pax,"680,400"
84,Spicy Cream Dakgalbi - 2 pax,"496,800"
85,Coconut Curry Dakgalbi - 2 pax,"410,400"
86,"COMBO MÌ TƯƠNG ĐEN (L), THỊT HEO CHIÊN (S), COCA LON 330ML","572,400"
87,"COMBO MÌ TƯƠNG ĐEN (S), THỊT HEO CHIÊN (S), COCA LON 330ml","550,800"
88,"COMBO NỬA CON GÀ CHIÊN XỐT GALBI, 1 MÌ TƯƠNG ĐEN (S), COCA 330ML","421,200"
89,"COMBO NỬA CON GÀ CHIÊN XỐT YANGNYEOM, 1 MÌ TƯƠNG ĐEN (S), COCA 330ML","421,200"
90,"COMBO NỬA CON GÀ CHIÊN, 1 MÌ TƯƠNG ĐEN (S), COCA 330ML","399,600"
91,"COMBO 1 CON GÀ CHIÊN XỐT GALBI, 1 MÌ TƯƠNG ĐEN (L), COCA 330ML","604,800"
92,"COMBO 1 CON GÀ CHIÊN XỐT YANGNYEOM, 1 MÌ TƯƠNG ĐEN (L), COCA 330ML","604,800"
93,"COMBO 1 CON GÀ CHIÊN, 1 MÌ TƯƠNG ĐEN (L), COCA 330ML","561,600"
94,Extra Rice,"21,600"
95,Cơm nắm trứng cá chuồn,"64,800"
96,COCA 330ML,"43,200"
