,Food,Price
0,Bánh su kem không topping,"8,000"
1,Bánh su kem topping Chocolate đen + Oreo,"10,000"
2,Bánh su kem topping phô mai sợi + mứt hoặc socola trắng,"10,000"
3,Bánh su kem topping cream cheese + mứt dâu,"10,000"
4,Bánh su kem topping socola trắng + ngũ cốc dâu,"10,000"
5,Bánh su kem topping cream cheese + mứt kiwi,"10,000"
6,Bánh su kem topping socola đen + hạnh nhân lát,"10,000"
7,Bánh su kem topping socola đen+ kẹo bông đường,"10,000"
8,Bánh su kem topping socola trắng + ngũ cốc dừa,"10,000"
9,Bánh su kem topping socola trắng + ngũ cốc khoai tím,"10,000"
10,Bánh su kem topping mứt cam,"10,000"
11,Bánh su kem topping socola trắng + ngũ cốc trà xanh,"10,000"
12,Bánh su kem topping socola trắng + ritz,"10,000"
13,Bánh su kem topping việt quất,"10,000"
14,Bánh su kem topping mứt kiwi,"10,000"
15,Set 12 cái ( topping nhiều vị ),"100,000"
16,Set 6 cái (topping nhiều vị ),"50,000"
17,Bánh su kem trang trí bánh sinh nhật (25 cái),"250,000"
18,Bánh su kem trang trí bánh sinh nhật ( combo 30 cá,"300,000"
19,Bánh sinh nhật ( 35 cái ),"350,000"
20,Bánh sinh nhật ( 40 cái ),"400,000"
21,Bánh sinh nhật ( 50 cái ),"500,000"
22,Bánh sinh nhật ( 60 cái ),"600,000"
23,Bánh sinh nhật ( 45 cái ),"450,000"
