,Food,Price
0,Chè Thập Cẩm,"24,000"
1,Chè Bưởi,"19,000"
2,Chè Dừa Dầm,"31,000"
3,Chè Sầu Riêng,"46,000"
4,Chè Đậu,"24,000"
5,"Chè Đậu Đen, Thạch, Bột Lọc","24,000"
6,Chè Dừa Dầm Mix Hạt Đác,"39,000"
7,Chè Khúc Bạch                               ,"38,000"
8,Chè thập Cẩm - Mít,"31,000"
9,Chè Thạch,"19,000"
10,Chè Thái Xanh,"24,000"
11,Chè Đậu Đỏ,"24,000"
12,Sữa Chua Mít,"31,000"
13,Sữa Tươi Trân Châu Đường Đen,"31,000"
14,Sữa Chua Trái Cây Hạt Đác,"38,000"
15,Sữa Chua Trân Châu Cốt Dừa,"28,000"
16,Sữa Chua Hạt Đác Trân Châu,"38,000"
17,Sữa Chua Tự Làm,"11,000"
18,Sữa Chua Đánh Đá,"31,000"
19,Sữa Chua Thạch,"28,000"
20,Bánh Bèo Nước,"26,000"
21,Xúc Xích Rán,"13,000"
22,Bánh Tráng Trộn,"31,000"
23,Bánh Bèo Lá,"31,000"
24,Bánh Bèo Rán,"31,000"
25,Đùi Gà Chiên,"38,000"
26,Chân Gà Xã Tắc ,"61,000"
27,Chân Gà Chiên Mắm,"46,000"
28,Khoai Tây Chiên,"38,000"
29,Ngô Chiên,"38,000"
30,Cá Viên Chiên,"31,000"
31,Hải Sản Củ Quả Chiên,"31,000"
32,Phô Mai Que,"51,000"
33,Cánh Gà Chiên,"36,000"
34,Tôm Viên Chiên,"31,000"
35,Bò Viên Chiên,"31,000"
36,Gà Khô Xé,"38,000"
37,Trà Sữa Trân Châu,"26,000"
38,Trà Sữa Matcha Kem,"36,000"
39,Trà Sữa Thạch,"26,000"
40,Trà Sữa Trân Châu Vị Bạc Hà ,"26,000"
41,Trà Sữa Trân Châu Vị Viêt Quất ,"26,000"
42,1 Trái Dừa Xiêm,"30,000"
43,Trà Sữa Socola Kem,"36,000"
44,Trà Sữa Trân Châu Vị Khoai Môn ,"26,000"
45,Trà Sữa Trân Châu Trắng Hoặc Đen Vị Matchat,"26,000"
46,Trà Sữa Trân Châu Đen Hoặc Trắng Vị Sầu Riêng,"26,000"
47,Trà Sữa Trân Châu Đen Hoặc Trắng Vị Dâu Tây,"26,000"
