,Food,Price
0,Sinh Tố Bơ,"20,000"
1,Cacao Sữa Đá Xay,"22,000"
2,Thốt Nốt Sữa Xay,"22,000"
3,Sinh Tố Chanh Dây,"20,000"
4,Sinh Tố Chanh Tuyết,"20,000"
5,Sinh Tố Dâu,"20,000"
6,Sinh Tố Dừa,"20,000"
7,Sinh Tố Khóm,"20,000"
8,Sinh Tố Mãng Cầu,"20,000"
9,Sinh Tố Sapo,"20,000"
10,Yourt Chanh Dây,"18,000"
11,Café Sữa Xay,"22,000"
12,Sinh Tố Cam,"20,000"
13,Sinh Tố Mít,"20,000"
14,Sinh Tố Xoài,"20,000"
15,Sinh Tố Đào,"20,000"
16,Trà Sữa,"20,000"
17,Trà Sữa Chanh Dây,"22,000"
18,Trà Sữa Matcha,"22,000"
19,Yourt Dâu,"18,000"
20,bạc hà đá xay,"22,000"
21,Cafe Sữa Đá,"14,000"
22,Thốt Nốt Sữa,"16,000"
23,Cafe Chồn Sữa,"18,000"
24,Cafe Sữa Tươi,"16,000"
25,Đá Me Thái,"16,000"
26,Cafe Sữa 3 Màu,"18,000"
27,Cafe Yogurt,"16,000"
28,Cacao Sữa,"14,000"
29,Cafe Moka,"14,000"
30,Cafe Moka Sữa,"16,000"
31,Cafe Sữa Bạc Hà,"18,000"
32,Cafe Sữa Dứa,"18,000"
33,Cafe Đá,"12,000"
34,Cafe Đặc Biệt,"20,000"
35,Sữa Tươi,"14,000"
36,Yogurt Sữa,"16,000"
37,Yogurt Đá,"14,000"
38,Đá Me Thái sữa,"18,000"
39,Cacao 3 Màu,"22,000"
40,Cacao Đá,"14,000"
