,Food,Price
0,Quẩy,"5,000"
1,Phở bò tái,"55,000"
2,Phở tái nạm,"60,000"
3,Cơm rang dưa bò,"55,000"
4,Phở bắp gầu,"60,000"
5,Phở đặc biệt,"70,000"
6,Phở tái gầu,"60,000"
7,Phở xào bò,"55,000"
8,Phở bò bắp,"60,000"
9,Cơm Bò Lúc Lắc,"55,000"
10,Mỳ xào bò,"55,000"
11,Phở nạm,"55,000"
12,Phở bò chín,"55,000"
13,Phở chín gầu,"60,000"
14,Phở Áp Chảo,"60,000"
15,Phở chín tái,"60,000"
16,Phở bắp nạm,"60,000"
17,Phở tái bắp,"60,000"
18,Phở Tái Lăn,"55,000"
19,Phở chín nạm,"60,000"
20,Phở bắp chín,"60,000"
21,Trứng gà,"6,000"
22,Xúc Xích Chiên,"16,000"
23,Đùi Gà Kfc,"30,000"
24,Cá Viên Chiên,"10,000"
25,Phomai Que,"12,000"
26,Bò Viên Chiên,"12,000"
27,Bánh Lọc Chiên,"22,000"
28,Xúc Xích Lốc Xoáy,"25,000"
29,Khoai Tây Chiên,"25,000"
30,Sữa Chua Uống Trái Cây Size Lớn,"18,000"
31,Sữa Chua Uống Trái Cây Size Nhỏ,"8,000"
32,Nước Cam Vắt,"45,000"
33,Bạc Xỉu,"25,000"
34,Cà Phê Dừa,"35,000"
35,Cà Phê Sữa,"25,000"
36,Trà Sữa Truyền Thống Full Topping,"30,000"
37,Cà Phê Muối,"29,000"
38,Cà Phê Đen,"22,000"
39,Trà Sữa Socola Full Topping,"30,000"
