,Food,Price
0,Phở tái,"30,000"
1,Phở đặc biệt,"50,000"
2,Phở tái bắp,"50,000"
3,Phở nạm,"30,000"
4,Phở gà,"30,000"
5,Phở gầu,"30,000"
6,Phở gân,"30,000"
7,Phở thập cẩm,"50,000"
8,Phở bò viên,"30,000"
9,Chén tái,"30,000"
10,Phở bò,"30,000"
11,Chén tái bắp,"40,000"
12,Miến gà,"40,000"
13,Miến bò,"37,000"
14,Bia Tiger lon,"20,000"
15,Sữa hạt sen Mekong xanh,"12,000"
16,Trà C2,"10,000"
17,Redbull,"15,000"
18,Number one,"10,000"
19,Sữa bắp nếp Thái Sơn,"12,000"
20,Pepsi chai,"12,000"
21,Pepsi lon,"12,000"
22,Sữa đậu nành Soya,"10,000"
23,Mirinda xá xị,"10,000"
24,Twister,"10,000"
25,Revive,"10,000"
26,7up,"10,000"
27,Sting,"10,000"
28,Trà xanh không độ,"10,000"
