,Food,Price
0,"Phở tái, bò viên","65,000"
1,Phở tái,"60,000"
2,"Phở tái, nạm","65,000"
3,"Phở tái, gân, bò viên","69,000"
4,Phở đặc biệt,"89,000"
5,"Phở nạm, gân","65,000"
6,"Phở tái, nạm, gân","69,000"
7,"Phở nạm, bò viên","65,000"
8,"Phở tái, nạm, bò viên","69,000"
9,Phở bò Kobe,"159,000"
10,"Phở tái, gân","65,000"
11,"Phở tái, bằm em bé","45,000"
12,Phở nạm,"60,000"
13,Phở tái bằm,"60,000"
14,Phở bò viên,"60,000"
15,Phở Gà Đặc Biệt,"89,000"
16,"Phở nạm, gầu","65,000"
17,"Phở bắp, bò viên","79,000"
18,"Phở bắp, gân","79,000"
19,"Phở bắp, nạm, gầu, gân","89,000"
20,"Phở tái, bò viên em bé","45,000"
21,Bún Bò Chín ,"65,000"
22,Bún Bò Tủy,"85,000"
23,Bún Bò Bắp Gầu Gân,"95,000"
24,Chén trứng,"7,000"
25,Chén bánh thêm,"10,000"
26,Chén bò viên,"45,000"
27,Chén tủy,"49,000"
28,Chén tái,"45,000"
29,Chén đuôi,"49,000"
30,Chén nạm,"45,000"
31,Chén bắp,"49,000"
32,Phở không thịt,"20,000"
33,Chén gầu,"45,000"
34,Phở Trộn Đặc Biệt,"95,000"
35,Phở Trộn Gà,"65,000"
36,"Phở Trộn Tái, Bắp","85,000"
37,Phở Gà Trộn Đặc Biệt,"95,000"
38,Phở Trộn Tái,"65,000"
39,"Phở Trộn Tái, Bò Viên","75,000"
40,Phở Trộn Bắp Bò,"85,000"
41,"Phở Trộn Tái, Chín, Bò Viên","85,000"
42,"Phở Trộn Tái, Nạm, Gầu","85,000"
43,Miến Gà Trộn,"70,000"
44,"Phở Trộn Tái, Gầu","75,000"
45,Phở Trộn Bò Viên,"65,000"
46,Miến Gà Trộn Đặc Biệt,"95,000"
47,Phở Trộn Gân Bò,"65,000"
48,"Phở Trộn Bắp, Đuôi, Tuỷ","105,000"
49,Phở Trộn Nạm Bò,"65,000"
50,Phở Trộn Chín,"65,000"
51,Phở Trộn Đuôi Bò,"85,000"
52,"Phở Trộn Đuôi, Tuỷ","95,000"
53,"Phở Trộn Đuôi, Tuỷ, Bò Viên","95,000"
54,7 Up,"15,000"
55,Sting,"15,000"
56,Nước suối,"10,000"
57,Coca Cola,"15,000"
