,Food,Price
0,Set Burger 4 Món,"138,000"
1,"Sandwich xúc xích, trứng lòng đào & thịt xông khói","30,000"
2,Sandwich gà giòn sốt trứng,"32,000"
3,Sandwich cá ngừ sốt trứng,"30,000"
4,Sandwich chả cá chiên xù kiểu nhật,"28,000"
5,Sandwich 2 loại trứng,"24,000"
6,Cơm Sườn Mật Ong,"42,000"
7,Combo Hàn Quốc,"126,000"
8,Cơm Tấm Long Xuyên,"42,000"
9,"Gà, Cá, Heo giòn & Kimbab ( Chọn Vị)","54,000"
10,Cơm Xá Xíu,"48,000"
11,Cơm Cá Basa Chiên Xù,"42,000"
12,Cơm Gà Chiên Nước Mắm Nhỏ,"36,000"
13,Cơm Gà Tekiyaki nhỏ,"36,000"
14,Cơm Gà Hấp Nhỏ,"36,000"
15,Combo Pizza,"198,000"
16,Pizza siêu thịt,"78,000"
17,Pizza phô mai,"42,000"
18,Pizza Sieu Hai San,"78,000"
19,Pizza 2 loại trứng cá chuồn,"90,000"
20,Pizza Magherita,"48,000"
21,Phô Mai Thêm,"18,000"
22,Hamburger gà,"42,000"
23,Hamburger bò,"48,000"
24,Hamburger tôm,"48,000"
25,Hamburger cá,"42,000"
26,Cơm gà sốt Teriyaki,"36,000"
27,Cơm gà quay xá xíu,"54,000"
28,Cơm gà sốt cay Hàn Quốc,"36,000"
29,Cơm gà xé phay,"36,000"
30,Cơm gà hấp hành,"36,000"
31,Cơm gà chiên nước mắm,"36,000"
32,Salad dầu giấm,"42,000"
33,Salad cá ngừ sốt cay,"66,000"
34,Salad gà áp chảo sốt mayo,"60,000"
35,Salad bò đút lò sốt mù tạt vàng,"72,000"
36,Miến trộn Hàn Quốc thịt bò,"60,000"
37,Mì Ý bò băm,"54,000"
38,Mì tương đen Hàn Quốc,"60,000"
39,Mì kim chi hải sản,"54,000"
40,Mì kim chi bò cuộn kim châm,"58,000"
41,Mì Ý hải sản,"54,000"
42,Mì Hàn Quốc,"14,000"
43,Mì Vị Hương,"6,000"
44,Cơm heo chiên xù kiểu Nhật,"54,000"
45,Cơm xá xíu,"48,000"
46,Cơm trộn Hàn Quốc thịt bò,"60,000"
47,Cơm xào bò kim chi Hàn Quốc,"60,000"
48,Cơm cá basa chiên xù,"42,000"
49,Cơm Trắng Thêm,"6,000"
50,Trứng Sợi Thêm,"6,000"
51,Trứng Chiên Thêm,"6,000"
52,Cơm Tấm Thêm,"6,000"
53,Trứng Luộc Thêm,"6,000"
54,Cơm tấm thêm,"6,000"
55,Thịt Thêm Cơm Tấm,"12,000"
56,Trứng Thêm Cơm Tấm,"6,000"
57,Gà cay phô mai đặc biệt,"60,000"
58,Súp rong biển tàu hủ trứng,"30,000"
59,Heo chiên xù kiểu Nhật,"54,000"
60,Gà sốt cay popcorn Hàn Quốc,"66,000"
61,Khoai tây chiên,"42,000"
62,Bánh gạo nướng phô mai,"54,000"
