,Food,Price
0,Pizza Vị bò băm/2 Cây,"60,000"
1,Pizza thập cẩm/2 Cây,"60,000"
2,Pizza xúc xích/2 Cây,"60,000"
3,PIZZA ỐC QUẾ THẬP CẨM/ 1 CÂY,"35,000"
4,Pizza Hải Sản Size 27cm,"120,000"
5,Pizza hải sản Size 22cm,"89,000"
6,Pizza bò băm Size 22cm,"89,000"
7,Pizza Bò Băm Size 27cm,"120,000"
8,Pizza xúc xích Size 22cm,"89,000"
9,Pizza Thập Cẩm Size 27cm,"120,000"
10,PIZZA ĐẶC BIỆT SIZE 22CM,"99,000"
11,PIZZA ĐẶC BIỆT SIZE 27cm,"149,000"
12,PIZZA SIZE 18CM (VỊ HẢI SẢN/BÒ BĂM/XÚC XICH/THỊT NGUỘI/THẬP CẨM),"65,000"
13,Pizza thập cẩm Size 22cm,"89,000"
14,PIZZA SIZE 16CM (VỊ HẢI SẢN /BÒ BĂM/XÚC XICH/THỊT NGUỘI/THẬP CẨM),"55,000"
15,Combo 3: PIZZA SIZE M+KHOAI TÂY CHIÊN + LON COCA,"129,000"
16,Combo 1:PIZZA  SIZE M + MỲ Ý BÒ BĂM+ LON COCA,"149,000"
17,Pizza Xúc Xích Size 27cm,"120,000"
18,Pizza Rau Củ Size 22cm,"89,000"
19,Combo 2: PIZZA SIZE M  + XÚC XÍCH LỐC XOÁY 3 Cây+LON COCA,"129,000"
20,Combo 4: PIZZA SIZE L + PIZZA SIZE M + LON COCA ,"219,000"
21,Pizza Thịt Nguội Size 22cm,"89,000"
22,Pizza salami Size 22cm,"89,000"
23,Pizza Rau Củ Size 27cm,"120,000"
24,Pizza Thịt Nguội Size 27cm,"120,000"
25,Khoai Tây Chiên,"35,000"
26,MỲ Ý BÒ BĂM,"49,000"
27,XÚC XÍCH LỐC XOÁY/3 cây,"35,000"
28,MỲ Ý HẢI SẢN,"49,000"
29,Phomai Que/ 3 Que,"35,000"
30,Khoai Lang Kén,"35,000"
31,Cá Viên Chiên/3 Xiên,"35,000"
32,COCA LON,"15,000"
