,Food,Price
0,Bánh mì bơ tỏi ,"45,000"
1,BBQ. wing (Regular),"145,000"
2,BBQ. wing (Large),"205,000"
3,Salad B,"165,000"
4,Salad A,"165,000"
5,Pizza hải sản,"225,000"
6,Pizza thập cẩm ,"195,000"
7,Pizza bò bít tết ,"225,000"
8,Pizza xúc xích ,"195,000"
9,Pizza phô mai ,"195,000"
10,Pizza cá ngừ ,"190,000"
11,Pizza dứa,"190,000"
12,Pizza bò,"225,000"
13,Pizza tôm ,"225,000"
14,Pizza khoai lang ,"190,000"
15,Pizza rau ,"190,000"
16,Pizza kim chi ,"195,000"
17,Pizza mùi ngò gai ,"225,000"
18,Pizza cay ,"190,000"
19,Mì Ý sốt bò ,"140,000"
20,Mì Ý hải sản sốt kem,"160,000"
21,Mì Ý gà sốt kem ,"140,000"
22,Mì Ý hải sản sốt cà chua ,"160,000"
23,Mì Ý nghêu ,"155,000"
24,Mì Ý gà sốt cà chua ,"140,000"
25,Mì Ý cay ,"145,000"
26,Mì Ý xúc xích ,"145,000"
27,Halal Mì Ý bò bằm,"140,000"
28,Halal Mì hải sản sốt kem,"160,000"
29,Halal Mì gà sốt kem,"145,000"
30,Mì Ý đút lò hải sản sốt kem,"180,000"
31,Mì Ý đút lò thịt bò ,"170,000"
32,Mì Ý đút lò hải sản sốt cà chua,"180,000"
33,Mì Ý đút lò gà sốt kem,"170,000"
34,Mì Ý đút lò double sốt ,"175,000"
35,Mì Ý đút lò xúc xích ,"165,000"
36,Mì Ý đút lò gà sốt cà chua,"170,000"
37,Mì Ý đút lò sốt cay ,"160,000"
38,Mì Ý đút lò kim chi ,"165,000"
39,Cơm Ý đút lò hải sản sốt kem,"180,000"
40,Cơm Ý đút lò thịt bò ,"170,000"
41,Cơm Ý đút lò gà sốt kem,"170,000"
42,Cơm Ý đút lò thịt xông khói ,"165,000"
43,Cơm Ý đút lò sốt cay ,"160,000"
44,Cơm Ý đút lò double sốt ,"175,000"
45,Cơm Ý đút lò gà sốt cà chua,"170,000"
46,Cơm Ý đút lò hải sản sốt cà chua,"180,000"
47,Cơm Ý đút lò kim chi ,"165,000"
48,Cơm Ý đút lò xúc xích ,"165,000"
49,Halal BBQ.Wing ,"205,000"
50,Halal BBQ.Wing,"145,000"
51,Đùi gà rán 2 cái,"68,000"
52,Pepsi,"35,000"
53,7 Up,"25,000"
54,Pepsi không Calo,"35,000"
55,Sting,"35,000"
56,Mirinda,"35,000"
57,Lemon juice,"35,000"
58,Icetea,"35,000"
59,Apple juice,"40,000"
60,Ice coffee,"35,000"
61,Soda,"35,000"
62,Mineral water,"20,000"
