,Food,Price
0,Coca-Cola chỉ 1Đ,1
1,Combo pizza phô mai size S + 1 Coca-Cola,"50,000"
2,Combo pizza xúc xích size S + 1 Coca-Cola,"50,000"
3,1 Coca-Cola Chai,"13,500"
4,Combo pizza bò size S + 1 gà lắc + 2 Coca-Cola,"80,000"
5,Combo pizza ba rọi size S + 1 gà lắc + 2 Coca-Cola,"80,000"
6,2 Coca-Cola Chai,"27,000"
7,Combo một người,"45,000"
8,Combo 1,"119,000"
9,Combo D,"151,000"
10,Combo 6,"159,000"
11,Combo 3,"239,000"
12,Combo 4,"139,000"
13,Combo 7,"149,000"
14,Combo 2,"179,000"
15,Combo B,"259,000"
16,Combo A,"229,000"
17,Combo E,"151,000"
18,Combo 8,"209,000"
19,Combo 5,"239,000"
20,Combo C,"151,000"
21,Pizza Salami,"109,000"
22,Pizza bò size S,"39,000"
23,Pizza phô mai size S,"39,000"
24,Pizza xúc xích size S,"39,000"
25,Pizza gà Teriyaki size S,"39,000"
26,Pizza ba rọi xông khói size S,"39,000"
27,Pizza cá ngừ size S,"39,000"
28,Pizza thập cẩm size L,"109,000"
29,Pizza hải sản size L,"89,000"
30,Pizza bò,"89,000"
31,MEAT LOVER’S PIZZA size L,"109,000"
32,Pizza PHÔ MAI TƯƠI đặc biệt size L,"99,000"
33,Pizza xúc xích ĐỨC size L,"89,000"
34,Pizza gà Teriyaki,"89,000"
35,Pizza phô mai size L,"89,000"
36,Tương ớt thêm (3 gói),"3,000"
37,Pizza ba rọi xông khói size L,"89,000"
38,Pizza cá ngừ size L,"89,000"
39,Tương cà thêm (3 gói),"3,000"
40,PIZZA NẤM RAU CỦ size L,"89,000"
41,Pizza xúc xích heo truyền thống,"79,000"
42,[MÓN MỚI] Pizza thanh cua ba rọi,"99,000"
43,Pizza nấm sốt kem size L,"109,000"
44,"Salami pizza size L "" Đậu đỏ ""","109,000"
45,Combo bò size S + 1 Coca-Cola,"59,000"
46,Combo Pizza xúc xích size S + 1 Coca-Cola,"59,000"
47,Coca-Cola,"15,000"
48,Combo Pizza phô mai size S + 1 Coca-Cola,"59,000"
49,Gà lắc phô mai cay,"25,000"
50,Khoai tây chiên,"15,000"
51,Mì Ý sốt bò bằm,"39,000"
52,Xúc xích chiên xù,"15,000"
53,Mì Ý đút lò phô mai,"59,000"
54,Đùi gà rán giòn,"30,000"
55,Bánh mì bơ tỏi,"15,000"
56,Salad cá ngừ,"39,000"
57,Mì Ý xúc xích xông khói,"39,000"
58,Mì Ý tôm phô mai mozzarella tươi,"49,000"
59,Gà bó xôi chiên giòn,"15,000"
60,Mì Ý nấm sốt kem,"49,000"
61,MÌ Ý TÔM SỐT KEM,"69,000"
62,HOLIDAY COMBO (món cố định),"339,000"
63,Trà sữa truyền thống full thạch,"20,000"
64,Trà đào,"20,000"
65,Hot trend TRÀ DÂU,"20,000"
66,Đá me hạt mềm,"20,000"
67,Nước cam vắt nguyên chất,"20,000"
