,Food,Price
0,Bún Bò Huế,"39,999"
1,Bún Bò Đặc Biệt,"52,000"
2,Chả Huế ,"6,000"
3,Phở Tái,"40,000"
4,Bún bò tái nạm,"45,000"
5,Dụng cụ ăn uống - 1 Phần,"4,000"
6,Bún Bò Giò Heo,"45,000"
7,Phở Đặc Biệt,"53,000"
8,Bún Măng Gà,"40,000"
9,Bún Bò Tái,"40,000"
10,Phở Tái Nạm,"45,000"
11,Miến Măng Gà,"45,000"
12,Phở Tái Viên,"45,000"
13,Miến gà,"45,000"
14,Phở Gà,"40,000"
15,Bún Giò Heo,"40,000"
16,Trà tắc ,"15,000"
17,Chè  Dừa Dầm đặc sản Hải Phòng,"25,000"
18,Rau má đậu xanh,"17,000"
19,Trà Đào,"28,000"
20,Trà Chanh,"15,000"
