,Food,Price
0,1 Nem nướng Xuất Lớn + 1 Pepsi (Hoặc nước khác),"75,000"
1,1 Nem lụi + 1 pepsi (Hoặc nước khác),"75,000"
2,Nem Nướng Nha Trang VIP,"43,000"
3,Nem Nướng +hộp Nhựa,"45,000"
4,Nem Nướng Nha Trang Suất Vừa,"49,000"
5,Nước Sốt Chấm Nem Nướng(gọi Thêm),"4,000"
6,Thịt Nem Nướng ,"20,000"
7,Nem Lụi Huế New,"60,000"
8,Nem Nướng Nha Trang Xuất Lớn,"60,000"
9,1 Nem nướng Nha Trang + 1 Pepsi,"65,000"
10,Nem Lụi Lẻ,"15,000"
11,1 Nem Nướng Nha Trang+ 1 Trà Olong,"65,000"
12,2 Nem Nướng Nha Trang + 2 Pepsi,"125,000"
13,2 Nem Nướng Nha Trang + 2 Trà Olong,"125,000"
14,Bánh Đa Thêm,"4,000"
15,Ram Chiên Giòn,"15,000"
16,Bánh tráng trộn,"30,000"
17,Chân gà ngâm sả tắc,"65,000"
18,Trà Olong Ted+,"15,000"
19,Pepsi,"15,000"
