,Food,Price
0,Cơm Ba Chỉ Rang,"50,000"
1,Cơm Sườn Chua Ngọt,"60,000"
2,Cơm thịt Kho,"50,000"
3,cơm cá trắm kho tộ,"60,000"
4,cơm xá xíu,"65,000"
5,Ngô Chiên,"45,000"
6,Khoai Tây Chiên,"45,000"
7,Dưa Chẻ,"20,000"
8,Cơm Rang Gà Quay lu,"70,000"
9,Cơm Gà Nướng lu,"60,000"
10,Cơm Sườn Chua Ngọt,"60,000"
11,Cơm Gà Tay Cầm,"70,000"
12,Cơm Trắng,"25,000"
13,Cơm Rang Xá Xíu,"65,000"
14,Cơm Tay Cầm Xá Xíu,"65,000"
15,Cơm Rang Hải Sản,"85,000"
16,Cơm bò bít tết,"80,000"
17,Cơm Bò Tay Cầm,"70,000"
18,cơm ba chỉ áp bản gang,"60,000"
19,Cơm bò sốt tiêu,"60,000"
20,canh thịt chua,"50,000"
21,Gà Ta Rang Gừng (1/2 con),"200,000"
22,Gà Ta Rang Muối (1/2 con),"200,000"
23,Lẩu Ếch,"300,000"
24,Gà Ta Rang Mắm (1/2 con),"200,000"
25,Lẩu Gà,"450,000"
26,Gà Ta Rang Muối (1 con),"380,000"
27,Gà Ta Rang Gừng (1 con),"380,000"
28,Ba Chỉ Rang,"70,000"
29,Chả Lá Lốt,"60,000"
30,Cá trắm kho,"100,000"
31,Trứng rán hành,"45,000"
32,Sườn Chua Ngọt to,"90,000"
33,Thịt kho,"60,000"
34,Thịt Xá Xíu,"75,000"
35,Trứng đúc thịt,"50,000"
36,Ếch Xào Măng,"150,000"
37,Bò Xào Măng,"110,000"
38,Bò Xào Dưa,"120,000"
39,Chả Cá Rô Phi,"55,000"
40,Ếch Rang Muối,"150,000"
41,Bò Xào Cần Tỏi,"120,000"
42,Mực Xào Cần Tỏi,"150,000"
43,Mực Trứng Chiên,"150,000"
44,Mực Chiên Giòn,"150,000"
45,Tôm Chiên,"150,000"
46,Bò Sốt Tiêu Đen,"120,000"
47,Canh Cua Mùng Tơi,"55,000"
48,Cà Muối,"10,000"
49,Canh Cải Thịt,"50,000"
50,Canh Ngao Chua,"55,000"
51,Rau Muống Xào Tỏi,"40,000"
52,Dưa Muối,"15,000"
53,Lạc Rang,"10,000"
54,Canh Ngao Mùng Tơi,"50,000"
55,Cải Ngọt Xào Tỏi,"45,000"
56,Cải Chíp Xào Nấm,"45,000"
57,Canh Cải Ngao,"55,000"
58,Cải Thảo Xào Nấm,"45,000"
59,Rau Muống Luộc,"35,000"
60,Lẩu Riêu Bò Sụn,"400,000"
61,Sữa Đậu,"12,000"
62,Pepsi,"15,000"
63,Chanh Tươi,"15,000"
64,Chanh Leo,"20,000"
65,Coca,"15,000"
66,Lavie,"10,000"
