,Food,Price
0,Cà phê sữa,"18,000"
1,Cà phê đen,"15,000"
2,Cacao sữa đá,"25,000"
3,Bạc xỉu đá,"22,000"
4,Bạc xỉu nóng,"20,000"
5,Cà phê Sữa tươi,"22,000"
6,Cacao sữa nóng,"25,000"
7,Chanh muối nóng,"20,000"
8,Xí muội đá,"24,000"
9,Cam tươi,"30,000"
10,Chanh tươi nóng,"18,000"
11,Chanh tươi đá,"20,000"
12,Chanh muối đá,"22,000"
13,Xí muội nóng,"22,000"
14,Dừa tươi,"25,000"
15,Chanh dây,"25,000"
16,Yaourt hạt chia,"28,000"
17,Yaourt đá,"20,000"
18,Yaourt cam,"30,000"
19,Yaourt chanh dây,"30,000"
20,Yaourt trái cây hạt chia,"35,000"
21,Yaourt dâu,"30,000"
22,Lipton nóng,"20,000"
23,Lipton đá,"22,000"
24,Lipton sữa,"22,000"
25,Trà chanh,"20,000"
