,Food,Price
0,Xôi xéo thập cẩm đặc biệt + Tặng trà tắc,"50,000"
1,Xôi xéo thịt kho - trứng ốp lếp + Tặng trà tắc,"38,000"
2,Xôi xéo thịt xá xíu + pate + Tặng trà tắc,"38,000"
3,Xôi xéo gà xào nấm + Tặng trà tắc,"35,000"
4,Xôi xéo trứng kho - chả,"28,000"
5,Xôi xéo thập cẩm + Tặng trà tắc,"50,000"
6,Xôi xéo ruốc - lạp sườn,"28,000"
7,Xôi xéo thịt xá xíu,"32,000"
8,Xôi xéo chả - lạp sườn - trứng kho + Tặng trà tắc,"37,000"
9,Xôi xéo gà xào nấm + chả + Tặng trà tắc,"43,000"
10,Xôi xéo gà - chả - pate + Tặng trà tắc,"50,000"
11,Xôi ngô gà xào nấm + Tặng trà tắc,"35,000"
12,Xôi ngô thập cẩm đặc biệt + Tặng trà tắc,"50,000"
13,Xôi ngô thập cẩm + Tặng trà tắc,"50,000"
14,Xôi ngô chả - lạp sườn - trứng kho + Tặng trà tắc,"37,000"
15,Xôi ngô thịt xá xíu + pate + Tặng trà tắc,"38,000"
16,Xôi ngô ruốc - lạp sườn,"28,000"
17,Xôi ngô thịt kho - trứng ốp lếp + Tặng trà tắc,"38,000"
18,Xôi ngô thịt xá xíu,"32,000"
19,Xôi ngô gà xào nấm + chả + Tặng trà tắc,"43,000"
20,Xôi ngô trứng kho - chả,"28,000"
21,Xôi ngô gà - chả - pate + Tặng trà tắc,"50,000"
22,Xôi ngô gà - chả - lạp sườn + Tặng trà tắc,"50,000"
23,Xôi trắng thập cẩm đặc biệt + Tặng trà tắc,"50,000"
24,Xôi trắng ruốc - lạp sườn,"28,000"
25,Xôi trắng thịt xá xíu + pate + Tặng trà tắc,"38,000"
26,Xôi trắng thịt kho - trứng ốp lếp + Tặng trà tắc,"38,000"
27,Xôi trắng trứng kho - chả,"28,000"
28,Xôi trắng thịt xá xíu ,"32,000"
29,Xôi trắng chả - lạp sườn - trứng kho + Tặng trà tắc,"37,000"
30,Xôi trắng gà xào nấm + Tặng trà tắc,"35,000"
31,Xôi trắng thập cẩm + Tặng trà tắc,"50,000"
32,Xôi trắng gà - chả - lạp sườn + Tặng trà tắc,"50,000"
33,Xôi trắng gà - chả - pate + Tặng trà tắc,"50,000"
34,Xôi trắng gà xào nấm  + chả + Tặng trà tắc,"43,000"
35,Pate,"10,000"
36,Chả,"10,000"
37,Ruốc,"10,000"
38,Trứng kho,"8,000"
39,Lạp sườn,"10,000"
40,Thịt kho tàu,"18,000"
41,Trứng ốp lếp,"8,000"
42,Thịt xá xíu,"18,000"
43,Gà xào nấm,"24,000"
44,Xôi thập cẩm+trà tắc,"50,000"
45,Xôi xéo,"10,000"
46,Xôi trắng,"10,000"
47,Xôi ngô,"10,000"
48,Trà lipton chanh,"15,000"
49,Coca,"15,000"
50,Nước suối,"10,000"
51,Pepsi,"15,000"
52,7up,"15,000"
53,Trà tắc,"10,000"
