,Food,Price
0,Combo: Cơm mắm chưng + 01 Coca-Cola,"42,500"
1,Combo: Cơm chả Cá Kho + 01 Coca-Cola,"42,500"
2,Coca-Cola lẻ ,"15,000"
3,Combo: 2 Cơm mắm chưng + 2 Coca-Cola,"85,000"
4,Combo: 2 Cơm chả Cá Kho + 2 Coca-Cola,"85,000"
5,02 Coca-Cola lẻ ,"30,000"
6,Coca-Cola chỉ 1Đ ,"17,000"
7,Cơm heo quay xào cải chua,"40,000"
8,Cơm đùi gà chiên nước mắm + Coca,"43,000"
9,Cơm chả cá kho+ Coca,"43,000"
10,Cơm sườn non kho,"40,000"
11,Cơm Sườn non trứng kho,"40,000"
12,Cơm thịt kho tiêu,"35,000"
13,Cơm canh chua cá hú,"40,000"
14,Cơm gà kho gừng,"35,000"
15,Cơm cá hú kho,"35,000"
16,Cơm thịt luộc cà pháo,"35,000"
17,Cơm ếch xào lăn,"40,000"
18,Cơm Đùi gà chiên nước mắm,"35,000"
19,Cơm Cá hường chiên giòn,"35,000"
20,Cơm trứng chiên,"30,000"
21,Cơm thịt kho trứng,"40,000"
22,Cơm Đậu hủ nhồi thịt sốt cà,"35,000"
23,Cơm Thịt kho trứng cút,"35,000"
24,Cơm cá lóc kho,"35,000"
25,Cơm sườn miếng ram,"35,000"
26,Cơm Mắm chưng,"35,000"
27,Cơm heo quay tươi,"35,000"
28,Cơm Mắm ruốc xào thịt + dưa leo,"35,000"
29,Cơm bò xào đậu que,"35,000"
30,Cơm canh chua đầu cá lóc,"50,000"
31,Cơm Nem Nướng,"35,000"
32,Cơm chả cá chiên,"35,000"
33,Canh chua (Không Cá),"8,000"
34,Cơm thêm,"5,000"
35,Đậu que xào,"8,000"
36,Trứng chiên(1 miếng),"8,000"
37,Su xào,"8,000"
38,Canh chua cá hú,"30,000"
39,Đậu hủ chiên nhồi thịt sốt cà 1 miếng,"15,000"
40,Lạp xưởng 1 cây,"15,000"
41,Thịt luộc cà pháo,"25,000"
42,Sườn non kho,"30,000"
43,Mắm chưng,"25,000"
44,Gà kho gừng,"25,000"
45,Sườn non trứng kho,"30,000"
46,Đậu hủ chiên nhồi thịt 1 miếng,"15,000"
47,Cá hú kho,"25,000"
48,Bò xào đậu que,"25,000"
49,Thịt kho tiêu,"25,000"
50,Trứng ốp la,"8,000"
51,Canh chua cá lóc,"30,000"
52,Thịt kho trứng,"30,000"
