,Food,Price
0,Yakult Mix Peach,"40,300"
1,Yakult Mix Strawberry,"40,300"
2,Yakult Mix Kiwi,"40,300"
3,Yakult Mix Mango,"40,300"
4,Yakult Mix Guava,"40,300"
5,Trà sữa Trân Châu Hoàng Kim Size L,"29,250"
6,Sữa tươi trân châu đường đen. Size L,"34,450"
7,Trà sữa kem cheese trân châu  Size L,"37,050"
8,Trà sữa trân châu Size L,"29,250"
9,Trà sữa oreocake cream trân châu S L,"37,050"
10,Trà sữa trân châu đường đen. Size L,"34,450"
11,Trà sữa Trân Châu Ngọc Trai Size L,"29,250"
12,Trà sữa khoai môn trân châu. Size L,"34,450"
13,Trà sữa hokkaido trân châu Size L,"37,050"
14,Trà sữa hạt dẻ trân châu Size L,"34,450"
15,Trà Sữa Oreo Cake Cream  Size L ,"34,450"
16,Trà sữa mật ong trân châu Size L,"34,450"
17,Socola Kem Chesse   Size L,"31,850"
18,Trà sữa Chân Châu Pha Lê Trái Cây. Size L,"34,450"
19,Trà Sữa Cake Cream Chân Châu. Size L,"34,450"
20,Trà olong hoa quả Royaltea đặc biệt L,"35,750"
21,Trà xanh hoa quả Royaltea đặc biệt Size L,"36,400"
22,Trà xanh cam bưởi nhiệt đới,"31,850"
23,Socola cake cream SizeL,"31,850"
24,Trà dâu ruby Size L,"35,750"
25,Lục trà trái cây Size L,"31,850"
26,Socola kem cheese Size L,"31,850"
27,Trà olong đào kem cheese Size L,"31,850"
28,Trà bá tước kem cheese Size L ,"31,850"
29,Trà xanh chanh leo cam bưởi,"31,850"
30,Trà sương mù London kem cheese S L,"35,100"
31,Trà olong hoa hồng kem cheese S L,"31,850"
32,Phổ nhỉ thiên hương kem cheese S L,"31,850"
33,Trà sakura kem cheese S L,"31,850"
34,Trà xanh cam nhài,"33,800"
35,Lục trà đào hồng Size L,"35,750"
36,Sữa dâu tây,"36,400"
37,Sữa Xoài Nhiệt Đới,"36,400"
38,Sữa Kiwi,"36,400"
39,Sữa Ổi Hồng,"36,400"
40,Sữa đào hồng,"36,400"
41,Matcha kem cheese Size L,"37,050"
42,Socola Cake Cream Size L,"31,850"
43,Matcha Uji Size L,"31,850"
44,Socola Hokkaido Size L,"31,850"
45,Cafe sữa,"25,350"
46,Cafe đen đá,"22,750"
47,Cafe hokkaido,"29,250"
48,Socola hokkaido,"31,850"
