,Food,Price
0,Chai Cà Phê Muối,"65,000"
1,Chai Trà Chanh Vàng,"65,000"
2,Chai bạc sỉu,"55,000"
3,Chai Trà Sữa Rộtt,"65,000"
4,Chai Coldbrew Chanh Vàng,"70,000"
5,Chai Coldrew Dreamer,"70,000"
6,Trà đào + Trà Chanh Vàng + Sữa Tươi Cafe Sương Sáo + Bạc Sỉu,"138,000"
7,Combo 1 trà đào + 1 cà phê sữa(M),"55,000"
8,Bạc xỉu ,"28,000"
9,Cà phê sữa ,"28,000"
10,Cà phê đen ,"25,000"
11,Brownie ,"45,000"
12,Sữa tươi cà phê sương sáo,"35,000"
13,Caramel coffee ,"45,000"
14,Chubby latte ,"40,000"
15,Cold brew cam mật ong ,"42,000"
16,Dreamer Cold brew,"40,000"
17,Cold brew,"35,000"
18,Cold brew margarita ,"40,000"
19,Coldbrew Chanh Vàng,"42,000"
20,Trà  Chanh Vàng,"38,000"
21,Trà xăng ,"32,000"
22,Trà nho ,"35,000"
23,Trà chuối ,"35,000"
24,Trà raspberry,"35,000"
25,Trà đào ,"38,000"
26,Trà vải ,"38,000"
27,Trà Olong Macchiato,"30,000"
28,Trà đen Macchiato,"30,000"
29,Matcha Macchiato,"38,000"
30,Trà xoài Macchiato,"45,000"
31,Trà sữa Rộtt,"35,000"
32,Trà sữa matcha ,"40,000"
33,Trà sữa thái xanh ,"35,000"
34,Trà sữa chuối ,"42,000"
35,Soda Chanh dây xoài ,"35,000"
36,Soda nho ,"35,000"
37,Soda Vải ,"35,000"
38,Soda Phúc bồn tử ,"35,000"
