,Food,Price
0,Cafe sữa M,"25,000"
1,Cafe Sữa S,"20,000"
2,Choco Đá ,"35,000"
3,Cafe Sữa L ,"35,000"
4,Late ,"35,000"
5,Latte Đá M,"40,000"
6,Choco Đá M,"45,000"
7,Choco Đá L,"55,000"
8,Cafe Đá S,"20,000"
9,Cappu Đá L,"50,000"
10,Bạc Xỉu,"20,000"
11,Bạc Xỉu M,"25,000"
12,Cafe Đá L,"35,000"
13,Americano M,"30,000"
14,Bạc Xỉu L,"35,000"
15,Americano L,"40,000"
16,Americano,"25,000"
17,Latte Đá L,"50,000"
18,Cappu Đá M,"40,000"
19,Cappu Đá,"35,000"
20,Cafe đá M,"25,000"
21,Chocolate đá xay L,"55,000"
22,Soda Chanh Tuyết M,"39,000"
23,Cookies,"35,000"
24,Cafe Đá Xay,"35,000"
25,Choco Đá Xay,"35,000"
26,Soda Chanh Tuyết,"29,000"
27,Soda Chanh Tuyết L,"49,000"
28,Soda Chanh Dây,"35,000"
29,Soda Chanh Dây M,"45,000"
30,Soda Chanh Dây L,"55,000"
31,Chocolate Đá Xay M,"45,000"
32,Cookies M,"45,000"
33,Cafe Đá Xay M,"45,000"
34,Cafe Đá Xay L,"55,000"
35,Cookies L,"55,000"
36,Cam Bưởi Mật Ong M,"35,000"
37,Ép Thơm L,"45,000"
38,Cam M,"35,000"
39,Ép Cà Rốt,"25,000"
40,Chanh Dây,"25,000"
41,Ép Thơm,"25,000"
42,Cam L,"45,000"
43,Cam,"25,000"
44,Cam Bưởi Mật Ong L,"45,000"
45,Ép Cóc M,"35,000"
46,Chanh Dây Thơm Xí Muội ,"25,000"
47,Ổi M,"35,000"
48,Ổi L,"45,000"
49,Chanh Dây Thơm Xí Muội M,"35,000"
50,Chanh Dây Thơm Xí Muội L,"45,000"
51,Chanh Dây M,"35,000"
52,Cam Bưởi Mật Ong,"25,000"
53,Ép Dưa Hấu,"25,000"
54,Ép Dưa Hấu M,"35,000"
55,Ép Dưa Hấu L,"45,000"
56,Chanh Dây L,"45,000"
57,Ép Cà Rốt L,"45,000"
58,Ép Cóc,"25,000"
59,Bạc Xỉu Nóng - Size L,"35,000"
60,Cappu Nóng - Size L,"55,000"
61,Cafe Đen Nóng - Size S,"20,000"
62,Espresso Nóng - Size S,"25,000"
63,Americano Nóng - Size L,"40,000"
64,Latte Nóng - Size M,"35,000"
65,Latte Nóng - Size L,"45,000"
66,Espresso - Size M,"30,000"
67,Cappu Nóng - Size S,"35,000"
68,Cappu Nóng - Size M,"45,000"
69,Amerucano Nóng - Size M,"30,000"
70,Cafe Sữa Nóng - Size S,"20,000"
71,Cafe Sữa Nóng - Size M,"25,000"
72,Cafe Đen Nóng - Size M,"25,000"
73,Cafe Đen Nóng - Size L,"35,000"
74,Cafe Sữa Nóng - Size L,"35,000"
75,Bạc Xỉu Nóng - Size S,"20,000"
76,Bạc Xỉu - Size M,"25,000"
77,Lipton Chanh Nóng - Size S,"25,000"
78,Lipton Chanh Nóng - Size M,"35,000"
79,Lipton Chanh Nóng - Size L,"45,000"
80,Dâu S,"29,000"
81,Dâu L,"49,000"
82,Dâu M,"39,000"
83,Việt Quất L,"49,000"
84,Việt Quất,"29,000"
85,Việt Quất M,"39,000"
86,Đào,"29,000"
87,Đào L,"49,000"
88,Đào M,"39,000"
89,Trà Sữa Trân Châu L,"45,000"
90,Trà sữa trân châu M,"35,000"
91,Trà vải S,"25,000"
92,Trà Vải L,"45,000"
93,Trà Tắc Xí Muội M,"35,000"
94,Trà Sữa Ôlong Milkfoam M,"39,000"
95,Trà Sữa Ôlong Milkfoam S,"29,000"
96,Sữa Tươi Đường Đen M,"39,000"
97,Trà tắc Xí Muội L,"45,000"
98,Trà Đào L,"45,000"
99,Trà Đào M,"35,000"
100,Trà Ôlong Milkfoam L,"49,000"
101,Lipton Chanh ,"25,000"
102,Lipton Chanh M,"35,000"
103,Lipton Chanh L,"45,000"
104,Trà Dâu,"25,000"
105,Trà Dâu M,"35,000"
106,Trà Dâu L,"45,000"
107,Trà Tắc Xí Muội S,"25,000"
108,Trà đào S,"25,000"
109,Sữa Tươi Đường Đen S,"29,000"
110,Trà Sữa Ôlong Milkfoam L,"49,000"
111,Trân Châu,"5,000"
112,Đào Miếng,"5,000"
113,Vải,"5,000"
114,Cafe,"5,000"
