,Food,Price
0,Xoài Non (500g) + Mắm Ruốc,"55,000"
1,Combo Xoài Non + Cóc Non (500g) + Mắm Ruốc ,"55,000"
2,Combo ăn sản khoái _Cá Viên Chiên Nước Mắm (2 - 3 Người),"119,000"
3,Combo ăn sản khoái  Cá Viên Chiên Nước Mắm (4 - 5 Người),"199,000"
4,Combo ăn sản khoái  Cá Viên Chiên thường (2 - 3 Người),"119,000"
5,Combo Ăn Sản Khoái_ Cá Viên Chiên Nước Mắm (4 - 5Người),"199,000"
6,Xúc Xích Đức (1 Cây),"15,000"
7,Cá Viên Chiên (5 Viên),"7,000"
8,Bò Viên Chiên (5 Viên),"7,000"
9,Mực Cuộn (5 Cái),"18,000"
10,Tôm SuRiMi (5 Cái),"20,000"
11,Tôm Viên Chiên (5 Viên),"7,000"
12,Bánh Bao Trứng Cá Hồi Vàng (5 Viên),"20,000"
13,Bánh Bao Trứng Cá Hồi  (5 Viên),"20,000"
14,Thanh Cua Dài (1 Cây),"15,000"
15,Đậu Bắp Chiên (6 Cái),"6,000"
16,Hoành Thánh Chiên (5 Cái),"12,000"
17,Chả Giò (5 Viên),"23,000"
18,Đậu Hủ Chiên Giòn ( 5 Viên ),"6,000"
19,Chả Cốm (5 Viên),"20,000"
20,Viên Tôm Hùm ( 5 Viên ),"17,500"
21,Bò Cuộn Lá Lốt (5 Cái),"22,000"
22,Mắm Ruốc,"8,000"
23,Combo (1 Kg) Xoài Non + Cóc Non + Muối Tôm + Mắm Ruốc,"110,000"
24,Combo (500g) Xoài Non + Cóc Non + Muối Tôm,"55,000"
25,Muối Tôm,"4,000"
26,Xoài  Non (500g) + Muối Tôm,"54,000"
27,Cóc Non (500g) + Mắm Ruốc,"55,000"
28,Cóc Non (500g) + Muối Tôm,"52,000"
29,Combo Xoài Non + Cóc Non (1 Kg) + Muối Tôm,"99,000"
30,Nước Đá Me Siêu To ( Ly 800ml),"25,000"
31,Trà Tắc Siêu To  (Ly 800ml),"15,000"
32,Cafe Sữa Đá,"20,000"
33,Cafe Đá,"15,000"
