,Food,Price
0,Combo ba chỉ bò Mỹ,"160,920"
1,Combo thăn vai bò Mỹ,"193,320"
2,Tokyo Course (4-5 khách),"754,920"
3,Sumo Special Course,"862,920"
4,Thăn ngoại Bò Mỹ Steak cắt lát sốt BBQ,"194,400"
5,Thăn ngoại bò Mỹ Steak cắt tảng sốt BBQ,"194,400"
6,Sốt chấm chua cay Sumo,"10,800"
7,Sốt chấm chua ngọt Sumo,"10,800"
8,Dẻ Sườn Bò Mỹ sốt Tare,"108,000"
9,Sườn bò Mỹ không xương sốt BBQ,"216,000"
10,Dẻ sườn bò Tsubo sốt miso cay,"86,400"
11,Sườn bò Mỹ có xương sốt miso,"216,000"
12,Lưỡi bò Mỹ sốt Tare,"118,800"
13,Thăn vai bò Mỹ steak,"97,200"
14,Diềm thăn bò Mỹ cao cấp sốt BBQ,"216,000"
15,Diềm thăn bò Mỹ cao cấp sốt Garlic,"216,000"
16,Lưỡi bò Mỹ sốt Shio,"118,800"
17,Dẻ sườn heo Iberico sốt Miso,"162,000"
18,Lõi vai heo Iberico,"162,000"
19,Bạch tuộc baby sốt hải sản,"54,000"
20,Cá hồi nướng giấy bạc,"162,000"
21,Nấm nướng giấy bạc,"21,600"
22,Rau cuốn - BF,"32,400"
23,Kim chi cải thảo,"16,200"
24,Mì udon xào thịt bò,"97,200"
25,Tỏi nướng dầu mè,"16,200"
26,Gà rán kiểu Nhật,"54,000"
27,Cơm trộn bò băm,"97,200"
28,Salad rong biển,"54,000"
29,Lẩu Chanko hải sản,"214,920"
30,Ba chỉ bò thả lẩu thêm,"97,200"
31,Nước lẩu Chanko thêm,"32,400"
32,Rau nấm tổng hợp thêm,"54,000"
33,Hải sản tổng hợp thêm,"160,920"
34,Coca-cola 330ml,"21,600"
