,Food,Price
0,Sữa Chua Cafe 4 Tầng,"47,000"
1,Pho Mai Da Xay Dau,"49,000"
2,Sữa Chua Nếp Cẩm Đá Xay,"45,000"
3,Pho Mai Da Xay Phuc Bon Tu,"49,000"
4,Sữa  Nếp Cẩm Shaker,"39,000"
5,Pho Mai Da Xay Viet Quat,"49,000"
6,Hạt chia sữa tươi,"40,000"
7,Hạt chia nước chanh,"35,000"
8,Hạt chia trái cây,"45,000"
9,Hạt chia sữa chua trái cây,"45,000"
10,Hạt chia,"35,000"
11,Bạc xỉu,"25,000"
12,Cacao sữa đá,"35,000"
13,Cafe sữa,"24,000"
14,Cafe đá,"20,000"
15,Cacao nóng,"35,000"
16,Cacao đá,"35,000"
17,Cacao sữa nóng,"35,000"
18,Cafe Bali,"37,000"
19,Trà sữa quế trân châu trắng,"39,000"
20,Trà sữa trân châu Youcan,"37,000"
21,Trà sữa trà xanh trân châu trắng,"37,000"
22,Trà sữa trà đen trân châu trắng,"37,000"
23,Trà sữa Thái thạch cafe,"37,000"
24,Trà sữa lài trân châu trắng,"37,000"
25,Trà sữa khoai môn thạch trái cây,"39,000"
26,Trà sữa kiwi,"35,000"
27,Trà sữa việt quất,"35,000"
28,Trà sữa dâu,"35,000"
29,Trà sữa khoai môn pudding đậu đỏ,"39,000"
30,Trà sữa phúc bồn tử,"35,000"
31,Trà sữa đào,"35,000"
32,Trà sữa Sing trân châu hoàng kim,"39,000"
33,Trà gừng mật ong nóng,"29,000"
34,Trà táo,"37,000"
35,Trà vải,"37,000"
36,Trà cung đình nóng,"35,000"
37,Lipton sữa,"29,000"
38,Trà dâu,"37,000"
39,Trà đào cam sả,"39,000"
40,Lipton chanh,"29,000"
41,Lipton cam,"32,000"
42,Lipton chanh dây,"32,000"
43,Lipton mật ong,"32,000"
44,Trà đào,"37,000"
45,Trà sen vàng macchiato,"39,000"
46,Trà đen macchiato,"37,000"
47,Trà xanh macchiato,"37,000"
48,Trà olong macchiato,"37,000"
49,Trà việt quất macchiato,"37,000"
50,Trà cúc macchiato,"37,000"
51,Trà đào macchiato,"37,000"
52,Trà cherry macchiato,"37,000"
53,Hồng trà macchiato,"37,000"
54,Trà dâu macchiato,"37,000"
55,Ép dưa hấu,"29,000"
56,Ép thơm,"29,000"
57,Ép cà rốt,"29,000"
58,Ép chanh dây,"32,000"
59,Ép cam,"32,000"
60,Ép cam không đá,"39,000"
61,Ép ổi,"32,000"
62,Ép táo,"35,000"
63,Ép cam cà rốt,"35,000"
64,Ép thơm cà rốt,"35,000"
65,Ép thơm cà rốt táo,"39,000"
66,TS đá xay,"39,000"
67,Trà sữa bánh Flan đá xay,"49,000"
68,Cookies trà xanh,"49,000"
69,Vải đá xay,"39,000"
70,Xoài chanh dây đá xay,"39,000"
71,Trà xanh xoài đá xay,"39,000"
72,Jocker frappuccino,"49,000"
73,Sinh tố bơ/bơ dầm,"42,000"
74,Sinh tố sapo,"35,000"
75,Sinh tố đu đủ,"35,000"
76,Sinh tố mãng cầu,"35,000"
77,Sinh tố chanh mật ong,"37,000"
78,Sinh tố dâu,"42,000"
79,Sinh tố mứt đào,"35,000"
80,Sinh tố mứt phúc bồn tử,"35,000"
81,Sinh tố mứt việt quất,"37,000"
82,Sinh tố dâu chuối táo,"42,000"
83,Sinh tố gym,"42,000"
84,Nhà berry,"42,000"
85,Sinh tố chanh dây,"35,000"
86,Sinh tố tắc mật ong,"37,000"
87,Việt quất đá xay,"39,000"
88,Trà xanh đá xay,"39,000"
89,Chocolate đá,"39,000"
90,Cacao đá xay,"39,000"
91,Phúc bồn tử đá xay,"39,000"
92,Coffee đá xay,"39,000"
93,Sữa chua đá xay,"39,000"
94,Yogurt shaker đào,"32,000"
95,Yogurt dâu tươi,"35,000"
96,Yogurt đá,"29,000"
97,Yogurt shaker dâu,"32,000"
98,Yogurt shaker kiwi,"32,000"
99,Yogurt shaker phúc bồn tử,"32,000"
100,Yogurt shaker việt quất,"35,000"
101,Yogurt chanh dây,"32,000"
102,Yogurt trái cây,"39,000"
103,Redbull,"32,000"
104,Nước tắc,"29,000"
105,Sữa tươi,"29,000"
106,Xí muội,"29,000"
107,Dừa tươi,"32,000"
108,Soda chanh gừng,"35,000"
109,Nước chanh,"29,000"
