,Food,Price
0,Sốt Phô Mai Cay ( 2 viên ),"10,000"
1,Fuyu (8v Takoyaki xốt ĐẶC BIỆT VỊ CAY),"54,000"
2,Haru ( 8v Takoyaki xốt ĐẶC BIỆT VỊ KHÔNG CAY ),"52,000"
3,Natsu ( 6 bánh cá + 4v Takoyaki không cay ),"47,000"
4,Aki( 6 bánh cá + 4v Takoyaki CAY),"47,000"
5,Combo CUTE 1 (Takoyaki 10viên sốt KHÔNG cay + Set 06 bánh cá 2 loại nhân,"86,000"
6,Combo KAWAII 2 (Takoyaki 10viên sốt CAY+ Set 06 bánh cá 2 loại nhân),"86,000"
7,Combo OISHII 3 (Takoyaki 16viên NHIỀU loại sốt + Set 11 bánh cá 2 loại nhân),"145,000"
8,Combo SUPPER 4  (Takoyaki 32viên nhiều loại sốt +  set 6 bánh cá),"215,000"
9,Bánh bạch tuộc truyền thống,"45,000"
10,Bánh bạch tuộc phô mai cay,"52,000"
11,Bánh bạch tuộc phô mai,"52,000"
12,Bánh bạch tuộc cay ngọt,"45,000"
13,Bánh bạch tuộc chua ngọt,"52,000"
14,Bánh bạch tuộc chua cay,"52,000"
15,Bánh Cá Nướng Taiyaki Nhân  Phomai,"40,000"
16,Bánh Cá Nướng Taiyaki Nhân Sukem,"40,000"
