,Food,Price
0,Chân Gà Sả Tắc,"55,000"
1,Bánh Tráng Trộn,"27,000"
2,Xúc Xích,"12,000"
3,bánh tráng cuộn cuộn cuộn ,"30,000"
4,Nem Chua Rán,"35,000"
5,chân gà rút xương ,"60,000"
6,Viên Xiên,"30,000"
7,Mỳ trộn ,"35,000"
8,Xoài Lắc Bò Khô,"30,000"
9,bánh bao rán ,"15,000"
10,xoài chấm mắm ,"33,000"
11,caramen trân châu đá bào ,"15,000"
12,kim chi nhà làm ,"75,000"
13,Chè Sầu,"32,000"
14,Chè Khúc Bạch,"25,000"
15,Dừa dầm hải phòng,"22,000"
16,Chè thốt nốt,"32,000"
17,Trà Chanh,"15,000"
18,Sữa Chua Mít,"30,000"
19,Trà Sữa,"30,000"
20,Chè xoài putding,"32,000"
21,Trà Đào,"15,000"
22,Sữa Chua Đánh Đá,"25,000"
