,Food,Price
0,"Thứ 4: cá diêu hồng hấp xì dầu, canh bí xanh nấu tôm, cải thìa luộc dầu mè","49,000"
1,"Thứ 6: sườn non rim, canh khoai mỡ","49,000"
2,"Thứ 6: cá hú kho tộ, canh khoai mỡ","49,000"
3,"Thứ 2: cá hồi chiên nước mắm, cải bẹ xanh, đậu que xào tỏi","49,000"
4,"Thứ 3: ba rọi chiên, canh súp lơ, rau muống xào tỏi","49,000"
5,"Thứ 5: cánh gà chiên nước mắm, canh bí đỏ nấu thịt, giá hẹ xào tỏi","49,000"
6,"Thứ 3: gà ram gừng, canh súp lơ, rau muống xào tỏi","49,000"
7,"Thứ 5: tôm rim thịt, canh bí đỏ nấu thịt, giá hẹ xào tỏi","49,000"
8,"Thứ 2: đậu hũ sốt cà, cải bẹ xanh, đậu que xào tỏi","49,000"
9,"Thứ 4: ếch kho sả ớt, canh bí xanh nấu tôm, cải thìa luộc dầu mè","49,000"
