,Food,Price
0,Trà sữa dâu cacao (M) (Hot),"75,000"
1,Dâu Tuyết Đá Xay (M),"69,000"
2,Sunrise soda/ Soda xoài,"59,000"
3,Sữa Tươi Kem Trứng Trân Châu Đường Đen M,"65,000"
4,Sữa Tươi Trân Châu Đường Đen,"62,000"
5,Matcha Trân Châu Đường Đen,"65,000"
6,Latte Trân Châu Đường Đen L,"75,000"
7,Dalgona Trân Châu Đường Đen (M),"65,000"
8,Cacao Trân Châu Đường Đen,"65,000"
9,Dalgona Trân Châu Đường Đen (Món Độc Quán Quen) (M),"65,000"
10,Sữa Chua Trân Châu Đường Đen,"65,000"
11,Sữa Chua Nếp Than Trân Châu Đường Đen,"68,000"
12,Sữa Chua Tự Chọn,"65,000"
13,Sữa Chua Bơ,"68,000"
14,Sữa Chua Matcha Trân Châu Đường Đen,"65,000"
15,Sữa Chua Matcha Nếp Than Trân Châu Đường Đen,"68,000"
16,Sữa Chua Nếp Than,"65,000"
17,Sữa Xoài Đá Xay M,"60,000"
18,Nước Ép Chanh Ổi,"55,000"
19,Lục Trà Chanh,"52,000"
20,Lục Trà Dâu (M),"69,000"
21,Lục Trà Dâu (S),"45,000"
22,Trà sữa Crunchy đường đen,"65,000"
23,Trà Sữa Dâu Crunchy (M),"69,000"
24,Trà Sữa Khoai Môn Đậu Đỏ,"65,000"
25,Trà Sữa Dâu Crunchy (S),"45,000"
26,Trà Sữa Giòn Thạch Đường Đen Nóng (M),"65,000"
27,Lục trà sữa thạch đường đen,"65,000"
28,Trà Sữa Mầm Cây,"59,000"
29,Trà Sữa Alley 03,"59,000"
30,Lục Trà Sữa,"52,000"
31,Hồng Trà Sữa,"52,000"
32,Trà Sữa Trân Châu Royal 09,"55,000"
33,Trà Sữa Thiết Quan Âm,"52,000"
34,Trà Sữa Trân Châu,"55,000"
35,Trà Sữa Kem Cheese Đường Đen,"58,000"
36,Lục Trà Sữa Kem Tươi Óc Chó,"58,000"
37,Lục Trà Nhài,"41,000"
38,Hồng Trà Royal 09,"41,000"
39,Hồng Trà Assam,"41,000"
40,Thiên Thần - size L,"72,000"
41,Trà Xoài Kem Cheese - Size L,"73,000"
42,Ác Qủy - Size L ,"72,000"
43,Thiên Thần,"65,000"
44,Ác Quỷ,"65,000"
45,Trà Nguyên Vị Kem Cheese Đường Đen,"55,000"
46,Trà Sữa Oolong Kem Tươi Óc Chó,"58,000"
47,Hồng Trà Sữa Mật Ong Kem Tươi Óc Chó,"58,000"
48,Trà Sữa Royal 09 Kem Tươi Óc Chó,"58,000"
